H,data,seed,variant,tv_learned_vs_init,tv_learned_vs_uniform,top1_agree,support_jaccard,empty_agree
720,ETTh1,7,heterogeneous_sparse,0.16603526698033846,0.5518546503179995,0.6168142759692056,0.826131322461354,0.993416993321719
720,ETTh1,13,heterogeneous_sparse,0.23927173153448603,0.5665397192681431,0.5197904717312419,0.7593747958730619,0.9740071047473867
720,ETTh1,21,heterogeneous_sparse,0.2212930901125333,0.5766382397398023,0.4947327480959071,0.7868807916924533,0.9919288980836237
720,ETTh1,7,homogeneous_dense,0.052492504681998155,0.17741966247558594,0.3834624074477352,1.0,1.0
720,ETTh1,13,homogeneous_dense,0.08237978833339217,0.20584731096451567,0.3691686423086085,0.9999994157480725,0.9999217388937283
720,ETTh1,21,homogeneous_dense,0.09583628260715497,0.14444895516150782,0.346667120428351,0.9999989004085509,0.9998627595092915
720,ETTh1,7,homogeneous_sparse,0.16265023343100643,0.5024098963687644,0.42537442527427505,0.8534260738469738,0.9991754228368177
720,ETTh1,13,homogeneous_sparse,0.36235249360956245,0.5512157253548936,0.33120325142096874,0.6721206575618057,0.9693953705720093
720,ETTh1,21,homogeneous_sparse,0.22334883063512398,0.46479945648007276,0.3922392921097833,0.7915543120391609,0.9970975337543554
720,ETTh2,7,heterogeneous_dense,0.1611248595373971,0.2893204738869484,0.6543046828336606,0.9989413075997927,0.9893712343931476
720,ETTh2,13,heterogeneous_dense,0.18999336613179915,0.245558125078332,0.27269699803098035,0.998702445944438,0.9740706210075494
720,ETTh2,21,heterogeneous_dense,0.18617861971484106,0.24792706315664187,0.29049742100232273,0.9978642439943711,0.9824967334494773
720,ETTh2,7,heterogeneous_sparse,0.300611460804247,0.6184060232979911,0.6343841995396885,0.6766265129273734,0.8701364692218351
720,ETTh2,13,heterogeneous_sparse,0.37952599348229954,0.6380003969013068,0.5421903476655516,0.5978680661081102,0.791536231489547
720,ETTh2,21,heterogeneous_sparse,0.38055900469612713,0.5787442458769724,0.37706791057256184,0.6330725700598803,0.8925713196864111
720,ETTh2,7,homogeneous_dense,0.1409271765807503,0.2720198370992237,0.3935039302312238,0.9983583395297045,0.9885012884727061
720,ETTh2,13,homogeneous_dense,0.22803375059165468,0.3349898750358342,0.38178612718152344,0.990883447116042,0.9438879210220673
720,ETTh2,21,homogeneous_dense,0.0160574648923021,0.23005742727671766,0.7011043782654365,0.9995483670159697,0.999956899680604
720,ETTh2,7,homogeneous_sparse,0.41422239191717664,0.5799279938453027,0.3488663890894751,0.6183812998992098,0.9064292065911731
720,ETTh2,13,homogeneous_sparse,0.458683278640942,0.5958369068983125,0.334595035329971,0.5660146456483237,0.832551856489547
720,ETTh2,21,homogeneous_sparse,0.5201557690535135,0.517870571001343,0.13231336698194504,0.5311514106642962,0.9872559160859465
