loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.421900, 0.420249, 0.438772, 97.67 M Ops, 12.71 M Ops, 7.98 M Ops, 0.6587 M, 2.7330 %, 48.13 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.422883, 0.421215, 0.439608, 92.00 M Ops, 12.46 M Ops, 2.29 M Ops, 0.5850 M, 0.3948 %, 21.75 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.422407, 0.420747, 0.438655, 84.02 M Ops, 11.69 M Ops, 2.06 M Ops, 0.5850 M, 0.2961 %, 20.00 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.429544, 0.427978, 0.443393, 84.02 M Ops, 11.86 M Ops, 2.06 M Ops, 0.5850 M, 0.2961 %, 20.15 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.424926, 0.423157, 0.439946, 91.90 M Ops, 12.48 M Ops, 2.52 M Ops, 0.5850 M, 0.3694 %, 22.82 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.420863, 0.419092, 0.437882, 91.90 M Ops, 12.47 M Ops, 2.52 M Ops, 0.5850 M, 0.3685 %, 22.82 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.421454, 0.419727, 0.438269, 105.78 M Ops, 13.38 M Ops, 2.52 M Ops, 0.6014 M, 0.3645 %, 23.63 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.422005, 0.420511, 0.439405, 52.47 M Ops, 8.23 M Ops, 1.71 M Ops, 0.5388 M, 0.3678 %, 15.27 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.423608, 0.422126, 0.439901, 53.13 M Ops, 8.84 M Ops, 2.05 M Ops, 0.5388 M, 0.4749 %, 17.36 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.422462, 0.420966, 0.439287, 53.13 M Ops, 8.59 M Ops, 2.05 M Ops, 0.5388 M, 0.4710 %, 17.14 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.422166, 0.420487, 0.438536, 53.13 M Ops, 7.71 M Ops, 2.05 M Ops, 0.5388 M, 0.4666 %, 16.35 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.424200, 0.422445, 0.439952, 77.98 M Ops, 10.50 M Ops, 2.42 M Ops, 0.5679 M, 0.4659 %, 20.60 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.425864, 0.424384, 0.441362, 77.98 M Ops, 10.45 M Ops, 2.42 M Ops, 0.5679 M, 0.4660 %, 20.56 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.431424, 0.429654, 0.444175, 77.98 M Ops, 10.46 M Ops, 2.42 M Ops, 0.5679 M, 0.4663 %, 20.56 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.423611, 0.421848, 0.439767, 77.98 M Ops, 10.45 M Ops, 2.42 M Ops, 0.5679 M, 0.4639 %, 20.56 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.422188, 0.420563, 0.439677, 77.98 M Ops, 10.62 M Ops, 2.42 M Ops, 0.5679 M, 0.4619 %, 20.71 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.423390, 0.421782, 0.440425, 78.07 M Ops, 10.62 M Ops, 2.18 M Ops, 0.5679 M, 0.4899 %, 19.59 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.422694, 0.421079, 0.440052, 78.07 M Ops, 10.58 M Ops, 2.19 M Ops, 0.5679 M, 0.4911 %, 19.61 uJ
