loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.414798, 0.407048, 0.427412, 0.739950, 25.38 M Ops, 4.26 M Ops, 1.27 M Ops, 0.2696 M, 0.2498 %, 9.70 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.413935, 0.406557, 0.427211, 0.740263, 25.38 M Ops, 4.25 M Ops, 1.27 M Ops, 0.2696 M, 0.2498 %, 9.69 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.414193, 0.406625, 0.427657, 0.740220, 25.38 M Ops, 3.89 M Ops, 1.27 M Ops, 0.2696 M, 0.2508 %, 9.36 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.414714, 0.407677, 0.428028, 0.739548, 25.38 M Ops, 4.40 M Ops, 1.71 M Ops, 0.2696 M, 0.2691 %, 11.81 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.415568, 0.408176, 0.428011, 0.739229, 25.38 M Ops, 4.15 M Ops, 1.71 M Ops, 0.2696 M, 0.2676 %, 11.59 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.414714, 0.407677, 0.428028, 0.739548, 25.38 M Ops, 4.40 M Ops, 1.71 M Ops, 0.2696 M, 0.2691 %, 11.81 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.414635, 0.408052, 0.428560, 0.739308, 25.38 M Ops, 4.46 M Ops, 1.27 M Ops, 0.2696 M, 0.2479 %, 9.87 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.415228, 0.408102, 0.427865, 0.739277, 25.38 M Ops, 0.90 M Ops, 20.79 M Ops, 0.2696 M, 0.2683 %, 96.44 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.432406, 0.417895, 0.436534, 0.733021, 25.41 M Ops, 2.12 M Ops, 1.27 M Ops, 0.2696 M, 0.2609 %, 7.77 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.452668, 0.450991, 0.460395, 0.711876, 25.41 M Ops, 0.95 M Ops, 1.27 M Ops, 0.2696 M, 0.2451 %, 6.71 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.414098, 0.407125, 0.427688, 0.739901, 25.38 M Ops, 4.18 M Ops, 1.71 M Ops, 0.2696 M, 0.2677 %, 11.62 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.414025, 0.406493, 0.427343, 0.740305, 25.38 M Ops, 4.24 M Ops, 1.27 M Ops, 0.2696 M, 0.2495 %, 9.67 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.414148, 0.406556, 0.427027, 0.740264, 25.38 M Ops, 4.16 M Ops, 1.71 M Ops, 0.2696 M, 0.2680 %, 11.60 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.414134, 0.406570, 0.427161, 0.740255, 25.38 M Ops, 4.13 M Ops, 1.71 M Ops, 0.2696 M, 0.2675 %, 11.57 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.414706, 0.407559, 0.428010, 0.739623, 25.38 M Ops, 0.85 M Ops, 21.22 M Ops, 0.2696 M, 0.2867 %, 98.38 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.415249, 0.407497, 0.428280, 0.739663, 25.38 M Ops, 3.74 M Ops, 1.27 M Ops, 0.2696 M, 0.2498 %, 9.22 uJ
