epoch,train_loss,train_ce,train_mse,train_distill,val_loss,val_ce,val_mse,val_distill,val_tot_acc,val_acc,val_f1,val_pre
0,2.408776,2.207488,0.143388,0.186949,2.381710,2.193306,0.137461,0.174659,0.102703,0.083629,0.070670,0.099631
1,2.373846,2.175310,0.128318,0.185705,2.296323,2.113848,0.116128,0.170862,0.475676,0.429074,0.396142,0.499426
2,2.278958,2.084801,0.109608,0.183196,2.146018,1.968518,0.108580,0.166641,0.891892,0.885976,0.886443,0.897416
3,2.130850,1.939087,0.110081,0.180756,1.936125,1.755500,0.129315,0.167694,0.932432,0.938616,0.930622,0.932686
4,1.925584,1.733757,0.130007,0.178827,1.650568,1.464493,0.157189,0.170356,0.932432,0.940627,0.930675,0.935721
5,1.657550,1.467469,0.146702,0.175411,1.304660,1.118864,0.168197,0.168975,0.943243,0.953347,0.941602,0.939374
6,1.377241,1.191039,0.153742,0.170828,0.974812,0.793495,0.173939,0.163922,0.954054,0.962943,0.954820,0.950879
7,1.148180,0.966826,0.161879,0.165166,0.739985,0.566689,0.175803,0.155716,0.975676,0.979761,0.975973,0.972975
8,0.989772,0.816281,0.165366,0.156955,0.557204,0.395645,0.170348,0.144524,0.975676,0.977193,0.974303,0.972499
9,0.878104,0.713685,0.169084,0.147511,0.442629,0.293013,0.179128,0.131703,0.981081,0.984855,0.981989,0.979496
10,0.796092,0.639986,0.170815,0.139024,0.380208,0.238498,0.178343,0.123876,0.981081,0.982287,0.979859,0.977947
11,0.743450,0.595693,0.170805,0.130676,0.344582,0.208071,0.181154,0.118396,0.981081,0.982287,0.979859,0.977947
12,0.708158,0.567186,0.171473,0.123824,0.326773,0.196033,0.181792,0.112560,0.978378,0.979112,0.977192,0.975806
13,0.683609,0.548040,0.169937,0.118575,0.306233,0.179993,0.183204,0.107919,0.981081,0.981890,0.979661,0.977629
14,0.664716,0.533769,0.168433,0.114103,0.296603,0.173938,0.185975,0.104067,0.986486,0.987943,0.986497,0.985248
15,0.652547,0.524568,0.168147,0.111164,0.299958,0.180402,0.187004,0.100856,0.983784,0.981543,0.981319,0.982114
16,0.642422,0.517969,0.165146,0.107938,0.281410,0.164957,0.181389,0.098314,0.986486,0.986984,0.986018,0.985164
17,0.634872,0.512853,0.163635,0.105656,0.286517,0.171679,0.183405,0.096497,0.983784,0.983153,0.982118,0.981324
