loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.292129, 0.292377, 0.347805, 63.50 M Ops, 7.24 M Ops, 5.20 M Ops, 0.1492 M, 0.3972 %, 30.41 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.292430, 0.292729, 0.349010, 63.50 M Ops, 7.34 M Ops, 5.20 M Ops, 0.1492 M, 0.4003 %, 30.50 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.332879, 0.332512, 0.382533, 25.96 M Ops, 3.02 M Ops, 4.80 M Ops, 0.0423 M, 0.3668 %, 24.80 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.339204, 0.338993, 0.385450, 65.86 M Ops, 7.70 M Ops, 5.56 M Ops, 0.0757 M, 0.3696 %, 32.49 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.293098, 0.293341, 0.349387, 63.50 M Ops, 7.35 M Ops, 5.20 M Ops, 0.1492 M, 0.3985 %, 30.51 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.291885, 0.292139, 0.347637, 63.50 M Ops, 7.24 M Ops, 5.20 M Ops, 0.1492 M, 0.3981 %, 30.41 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.293886, 0.294010, 0.349932, 63.50 M Ops, 7.36 M Ops, 5.20 M Ops, 0.1492 M, 0.3985 %, 30.52 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.293079, 0.293283, 0.349310, 63.50 M Ops, 7.36 M Ops, 5.20 M Ops, 0.1492 M, 0.3986 %, 30.52 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.292991, 0.293195, 0.349389, 63.50 M Ops, 7.37 M Ops, 5.20 M Ops, 0.1492 M, 0.3987 %, 30.53 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.292673, 0.292903, 0.347749, 64.67 M Ops, 7.32 M Ops, 5.60 M Ops, 0.1492 M, 0.5099 %, 32.33 uJ
