epoch,train_loss,train_ce,train_mse,val_loss,val_ce,val_mse,val_distill,val_tot_acc,val_acc,val_f1,val_pre
31,0.490858,0.490858,1.000000,0.195199,0.195199,0.000000,0.000000,"tensor(0.9784, device='cuda:0')","tensor([1.0000, 0.9429, 0.9773, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.9655],
       device='cuda:0')","tensor(0.9783, device='cuda:0')","tensor(0.9773, device='cuda:0')"
32,0.490719,0.490719,1.000000,0.201110,0.201110,0.000000,0.000000,"tensor(0.9730, device='cuda:0')","tensor([1.0000, 0.9429, 0.9773, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.8966],
       device='cuda:0')","tensor(0.9715, device='cuda:0')","tensor(0.9719, device='cuda:0')"
33,0.490189,0.490189,1.000000,0.196723,0.196723,0.000000,0.000000,"tensor(0.9730, device='cuda:0')","tensor([1.0000, 0.9429, 0.9773, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.8966],
       device='cuda:0')","tensor(0.9715, device='cuda:0')","tensor(0.9719, device='cuda:0')"
34,0.489878,0.489878,1.000000,0.192954,0.192954,0.000000,0.000000,"tensor(0.9730, device='cuda:0')","tensor([1.0000, 0.9429, 0.9773, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.8966],
       device='cuda:0')","tensor(0.9715, device='cuda:0')","tensor(0.9719, device='cuda:0')"
35,0.489712,0.489712,1.000000,0.199575,0.199575,0.000000,0.000000,"tensor(0.9730, device='cuda:0')","tensor([1.0000, 0.9429, 0.9773, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.8966],
       device='cuda:0')","tensor(0.9715, device='cuda:0')","tensor(0.9719, device='cuda:0')"
36,0.489533,0.489533,1.000000,0.199078,0.199078,0.000000,0.000000,"tensor(0.9730, device='cuda:0')","tensor([1.0000, 0.9429, 0.9773, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.8966],
       device='cuda:0')","tensor(0.9715, device='cuda:0')","tensor(0.9719, device='cuda:0')"
37,0.489345,0.489345,1.000000,0.194795,0.194795,0.000000,0.000000,"tensor(0.9730, device='cuda:0')","tensor([1.0000, 0.9429, 0.9773, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.8966],
       device='cuda:0')","tensor(0.9715, device='cuda:0')","tensor(0.9719, device='cuda:0')"
38,0.489228,0.489228,1.000000,0.197421,0.197421,0.000000,0.000000,"tensor(0.9730, device='cuda:0')","tensor([1.0000, 0.9429, 0.9773, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.8966],
       device='cuda:0')","tensor(0.9715, device='cuda:0')","tensor(0.9719, device='cuda:0')"
39,0.489097,0.489097,1.000000,0.197701,0.197701,0.000000,0.000000,"tensor(0.9730, device='cuda:0')","tensor([1.0000, 0.9429, 0.9773, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.8966],
       device='cuda:0')","tensor(0.9715, device='cuda:0')","tensor(0.9719, device='cuda:0')"
40,0.489006,0.489006,1.000000,0.196564,0.196564,0.000000,0.000000,"tensor(0.9730, device='cuda:0')","tensor([1.0000, 0.9429, 0.9773, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.8966],
       device='cuda:0')","tensor(0.9715, device='cuda:0')","tensor(0.9719, device='cuda:0')"
41,0.488937,0.488937,1.000000,0.197609,0.197609,0.000000,0.000000,"tensor(0.9730, device='cuda:0')","tensor([1.0000, 0.9429, 0.9773, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.8966],
       device='cuda:0')","tensor(0.9715, device='cuda:0')","tensor(0.9719, device='cuda:0')"
42,0.488894,0.488894,1.000000,0.197153,0.197153,0.000000,0.000000,"tensor(0.9730, device='cuda:0')","tensor([1.0000, 0.9429, 0.9773, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.8966],
       device='cuda:0')","tensor(0.9715, device='cuda:0')","tensor(0.9719, device='cuda:0')"
43,0.488834,0.488834,1.000000,0.197058,0.197058,0.000000,0.000000,"tensor(0.9730, device='cuda:0')","tensor([1.0000, 0.9429, 0.9773, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.8966],
       device='cuda:0')","tensor(0.9715, device='cuda:0')","tensor(0.9719, device='cuda:0')"
44,0.488804,0.488804,1.000000,0.196907,0.196907,0.000000,0.000000,"tensor(0.9730, device='cuda:0')","tensor([1.0000, 0.9429, 0.9773, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.8966],
       device='cuda:0')","tensor(0.9715, device='cuda:0')","tensor(0.9719, device='cuda:0')"
45,0.488790,0.488790,1.000000,0.197017,0.197017,0.000000,0.000000,"tensor(0.9730, device='cuda:0')","tensor([1.0000, 0.9429, 0.9773, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.8966],
       device='cuda:0')","tensor(0.9715, device='cuda:0')","tensor(0.9719, device='cuda:0')"
46,0.488777,0.488777,1.000000,0.196982,0.196982,0.000000,0.000000,"tensor(0.9730, device='cuda:0')","tensor([1.0000, 0.9429, 0.9773, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.8966],
       device='cuda:0')","tensor(0.9715, device='cuda:0')","tensor(0.9719, device='cuda:0')"
47,0.488755,0.488755,1.000000,0.196840,0.196840,0.000000,0.000000,"tensor(0.9730, device='cuda:0')","tensor([1.0000, 0.9429, 0.9773, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.8966],
       device='cuda:0')","tensor(0.9715, device='cuda:0')","tensor(0.9719, device='cuda:0')"
48,0.488742,0.488742,1.000000,0.196863,0.196863,0.000000,0.000000,"tensor(0.9730, device='cuda:0')","tensor([1.0000, 0.9429, 0.9773, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.8966],
       device='cuda:0')","tensor(0.9715, device='cuda:0')","tensor(0.9719, device='cuda:0')"
49,0.488742,0.488742,1.000000,0.196723,0.196723,0.000000,0.000000,"tensor(0.9730, device='cuda:0')","tensor([1.0000, 0.9429, 0.9773, 0.9773, 1.0000, 1.0000, 0.9750, 0.9800, 0.8966],
       device='cuda:0')","tensor(0.9715, device='cuda:0')","tensor(0.9719, device='cuda:0')"
