loss, overall_acc, average_acc, f1, precision, sensitivity, total_op, ACop, MACop, capacity, firing_rate, energy, acc0, acc1, acc2, acc3, acc4, acc5, acc6, acc7, acc8
0.186934, 0.983784, 0.983549, 0.980976, 0.978813, 0.983549, 68.80 M Ops, 3.63 M Ops, 7.26 M Ops, 2.9486 M, 0.5396 %, 36.68 uJ, 1.000000, 1.000000, 0.988636, 0.977273, 1.000000, 1.000000, 0.975000, 0.980000, 0.931035
loss, overall_acc, average_acc, f1, precision, sensitivity, total_op, ACop, MACop, capacity, firing_rate, energy, acc0, acc1, acc2, acc3, acc4, acc5, acc6, acc7, acc8
0.200491, 0.983784, 0.986118, 0.982956, 0.980108, 0.986118, 68.80 M Ops, 3.33 M Ops, 7.26 M Ops, 2.9988 M, 0.4885 %, 36.38 uJ, 1.000000, 1.000000, 0.977273, 0.977273, 1.000000, 1.000000, 0.975000, 0.980000, 0.965517
