epoch,train_loss,train_mse,train_mae,val_loss,val_mse,val_mae
0,0.534714,0.534714,0.528597,0.858629,0.858629,0.648330
1,0.403024,0.403024,0.456282,0.816571,0.816571,0.631276
2,0.382893,0.382893,0.443639,0.767287,0.767287,0.609880
3,0.371358,0.371358,0.435876,0.761896,0.761896,0.604822
4,0.362662,0.362662,0.429761,0.748572,0.748572,0.599779
5,0.355955,0.355955,0.425656,0.735913,0.735913,0.593636
6,0.351718,0.351718,0.423048,0.725572,0.725572,0.589654
7,0.347654,0.347654,0.420531,0.733828,0.733828,0.593438
8,0.342953,0.342953,0.417340,0.727188,0.727188,0.591104
9,0.339647,0.339647,0.415574,0.731539,0.731539,0.589812
10,0.335636,0.335636,0.412887,0.735572,0.735572,0.590595
11,0.334113,0.334113,0.411875,0.741271,0.741271,0.593594
12,0.333016,0.333016,0.411429,0.738747,0.738747,0.591507
