epoch,train_loss,train_ce,train_rec,train_distill,train_consol,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.728371,0.518900,1.206339,0.197407,0.000005,1.171485,0.957103,1.119517,0.203187,tensor(0.9563),tensor(0.6816)
1,0.624743,0.424715,1.084936,0.189179,0.000000,1.034882,0.828049,1.038021,0.196453,tensor(0.8279),tensor(0.6268)
2,0.582681,0.395092,1.024032,0.177349,0.000001,0.977469,0.784723,1.004593,0.182700,tensor(0.7851),tensor(0.6070)
3,0.556732,0.380352,0.998017,0.166400,0.000001,0.946046,0.764384,0.986049,0.171801,tensor(0.7649),tensor(0.5971)
4,0.544226,0.372041,0.990684,0.162278,0.000001,0.930350,0.752674,0.979495,0.167881,tensor(0.7524),tensor(0.5908)
5,0.536074,0.364783,0.988427,0.161407,0.000000,0.921429,0.745276,0.976918,0.166384,tensor(0.7453),tensor(0.5867)
6,0.528716,0.358078,0.987011,0.160768,0.000001,0.914135,0.739500,0.974583,0.164889,tensor(0.7393),tensor(0.5841)
7,0.523300,0.353048,0.986010,0.160392,0.000000,0.906685,0.732852,0.972881,0.164104,tensor(0.7330),tensor(0.5805)
8,0.518091,0.348267,0.984949,0.159974,0.000000,0.901689,0.728959,0.970647,0.163024,tensor(0.7289),tensor(0.5784)
9,0.513341,0.344006,0.983330,0.159502,0.000000,0.900625,0.728649,0.968950,0.162287,tensor(0.7283),tensor(0.5781)
10,0.507749,0.338697,0.981768,0.159234,0.000000,0.896716,0.725338,0.966270,0.161715,tensor(0.7254),tensor(0.5760)
11,0.503559,0.334841,0.980616,0.158911,0.000000,0.894444,0.723835,0.964216,0.160967,tensor(0.7235),tensor(0.5748)
12,0.499441,0.331094,0.978890,0.158557,0.000000,0.890410,0.720559,0.962077,0.160231,tensor(0.7213),tensor(0.5730)
13,0.494887,0.326670,0.977508,0.158442,0.000000,0.896278,0.726426,0.960202,0.160250,tensor(0.7265),tensor(0.5773)
14,0.491725,0.323829,0.976151,0.158134,0.000000,0.892408,0.723498,0.958498,0.159325,tensor(0.7241),tensor(0.5752)
15,0.487157,0.319432,0.974488,0.157980,0.000000,0.897335,0.729049,0.955814,0.158728,tensor(0.7298),tensor(0.5780)
16,0.483593,0.316174,0.973966,0.157680,0.000000,0.894273,0.725890,0.955576,0.158827,tensor(0.7269),tensor(0.5762)
17,0.483520,0.316052,0.973476,0.157733,0.000000,0.896248,0.728007,0.955339,0.158687,tensor(0.7282),tensor(0.5770)
18,0.483262,0.315796,0.973590,0.157730,0.000000,0.896062,0.727622,0.955196,0.158889,tensor(0.7273),tensor(0.5766)
19,0.483111,0.315679,0.973270,0.157699,0.000000,0.896968,0.728706,0.954917,0.158712,tensor(0.7281),tensor(0.5769)
0,0.767114,0.573572,1.073876,0.182802,0.000012,1.393246,1.198774,1.032896,0.184143,tensor(1.2042),tensor(0.7683)
1,0.664149,0.476862,1.026062,0.177027,0.000000,1.284648,1.090603,1.014305,0.183902,tensor(1.0864),tensor(0.7190)
2,0.644516,0.462327,1.006938,0.172120,0.000000,1.238156,1.051096,1.000439,0.177056,tensor(1.0503),tensor(0.7012)
3,0.610389,0.433482,1.001848,0.166888,0.000000,1.214680,1.032034,0.994280,0.172703,tensor(1.0315),tensor(0.6921)
4,0.599095,0.426132,0.996744,0.162996,0.000000,1.200461,1.021078,0.990466,0.169479,tensor(1.0212),tensor(0.6867)
5,0.587527,0.416609,0.994712,0.160971,0.000000,1.194801,1.018287,0.988459,0.166629,tensor(1.0151),tensor(0.6837)
6,0.581410,0.412062,0.994668,0.159401,0.000000,1.190438,1.014826,0.985125,0.165760,tensor(1.0124),tensor(0.6805)
7,0.580281,0.412367,0.993158,0.157983,0.000000,1.181592,1.007204,0.982839,0.164559,tensor(1.0079),tensor(0.6786)
8,0.579288,0.412902,0.989966,0.156485,0.000000,1.174912,1.002515,0.981286,0.162585,tensor(1.0048),tensor(0.6766)
9,0.568255,0.403022,0.988954,0.155343,0.000000,1.174179,1.002109,0.979602,0.162275,tensor(1.0001),tensor(0.6757)
10,0.566204,0.402077,0.988637,0.154241,0.000000,1.169835,1.001040,0.977101,0.159024,tensor(0.9997),tensor(0.6743)
11,0.569806,0.406697,0.985066,0.153258,0.000000,1.164462,0.997150,0.974386,0.157569,tensor(0.9972),tensor(0.6734)
