loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.387494, 0.386554, 0.405828, 63.18 M Ops, 8.16 M Ops, 5.93 M Ops, 0.1459 M, 0.4657 %, 34.62 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.385662, 0.384665, 0.404937, 63.18 M Ops, 8.18 M Ops, 5.93 M Ops, 0.1459 M, 0.4624 %, 34.64 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.385658, 0.384730, 0.404755, 63.18 M Ops, 8.15 M Ops, 5.93 M Ops, 0.1459 M, 0.4648 %, 34.60 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.386174, 0.385279, 0.404925, 63.18 M Ops, 8.15 M Ops, 5.93 M Ops, 0.1459 M, 0.4648 %, 34.61 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.387736, 0.386783, 0.405717, 63.18 M Ops, 8.15 M Ops, 5.93 M Ops, 0.1459 M, 0.4656 %, 34.60 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.382435, 0.381391, 0.403049, 63.18 M Ops, 8.14 M Ops, 5.93 M Ops, 0.1459 M, 0.4662 %, 34.60 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.384392, 0.383324, 0.403662, 43.35 M Ops, 5.51 M Ops, 5.63 M Ops, 0.1292 M, 0.4675 %, 30.84 uJ
