epoch,train_loss,train_score,train_rec,train_distill,val_loss,val_score,val_rec,val_distill
0,0.244806,0.188574,0.591092,0.082765,0.195570,0.134646,0.570753,0.049038
1,0.195289,0.148453,0.483716,0.105277,0.128632,0.075340,0.456812,0.107809
2,0.167573,0.123042,0.441808,0.117528,0.109079,0.059154,0.416527,0.119193
3,0.150778,0.109043,0.407789,0.132104,0.094850,0.047639,0.385589,0.136340
4,0.131550,0.091242,0.379775,0.146267,0.085780,0.040999,0.361551,0.142605
5,0.118456,0.079530,0.358170,0.157093,0.080521,0.037088,0.347987,0.156022
6,0.109566,0.070706,0.348877,0.159507,0.074417,0.031259,0.340191,0.162939
7,0.102286,0.063522,0.341001,0.165466,0.070453,0.027795,0.333149,0.170485
8,0.096463,0.057477,0.336545,0.168734,0.068450,0.026605,0.326134,0.175861
9,0.091258,0.051898,0.333646,0.171386,0.063585,0.021925,0.320138,0.174881
10,0.087517,0.047808,0.332052,0.172305,0.063500,0.021081,0.324724,0.179063
11,0.083802,0.043751,0.330443,0.172985,0.060766,0.018834,0.318992,0.177343
12,0.082382,0.042291,0.329271,0.172558,0.059467,0.017382,0.318633,0.177124
13,0.078467,0.037799,0.328910,0.171838,0.059018,0.017136,0.316937,0.169726
14,0.078145,0.037588,0.327905,0.169601,0.058181,0.016161,0.316950,0.169670
15,0.074533,0.033416,0.327739,0.168654,0.057238,0.015469,0.314458,0.167300
16,0.072508,0.031118,0.327397,0.166648,0.056549,0.014546,0.315211,0.162413
17,0.070482,0.028977,0.326079,0.165801,0.056403,0.014409,0.315014,0.162543
18,0.069133,0.027576,0.325047,0.165010,0.055186,0.013235,0.313527,0.161093
19,0.067679,0.025864,0.325187,0.164546,0.055569,0.013057,0.317366,0.159471
20,0.066131,0.024091,0.325019,0.165316,0.054353,0.012299,0.313334,0.161964
21,0.065020,0.022947,0.324114,0.165709,0.054410,0.011962,0.315810,0.162126
22,0.063917,0.021575,0.324665,0.166006,0.053852,0.011670,0.313622,0.161913
23,0.062789,0.020514,0.323131,0.165909,0.054303,0.011592,0.317321,0.154146
24,0.061931,0.019489,0.323295,0.164980,0.052887,0.010778,0.312200,0.157766
25,0.060923,0.018341,0.323154,0.164032,0.053934,0.011085,0.317803,0.154972
26,0.060203,0.017536,0.322955,0.163200,0.052998,0.010662,0.313712,0.149396
27,0.059949,0.017192,0.323255,0.163066,0.052565,0.010028,0.314517,0.154137
28,0.059154,0.016373,0.322604,0.162292,0.052573,0.010245,0.313239,0.154337
29,0.058363,0.015526,0.322164,0.161603,0.053479,0.009898,0.321858,0.146799
30,0.058293,0.015487,0.321903,0.160949,0.052787,0.009768,0.317707,0.145299
