epoch,train_loss,train_mse,train_mae,val_loss,val_mse,val_mae
0,0.731989,0.731989,0.590420,0.388063,0.388063,0.465126
1,0.517853,0.517853,0.479067,0.351365,0.351365,0.440161
2,0.509534,0.509534,0.470519,0.336812,0.336812,0.429715
3,0.508666,0.508666,0.468286,0.369104,0.369104,0.448176
4,0.508769,0.508769,0.465578,0.336124,0.336124,0.427233
5,0.506795,0.506795,0.463993,0.347139,0.347139,0.434672
6,0.506292,0.506292,0.461549,0.331724,0.331724,0.425081
7,0.504807,0.504807,0.460198,0.328688,0.328688,0.422386
8,0.504372,0.504372,0.459995,0.342074,0.342074,0.431005
9,0.502634,0.502634,0.458637,0.382522,0.382522,0.453642
