loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.403558, 0.395336, 0.423232, 0.747432, 195.39 M Ops, 28.24 M Ops, 20.51 M Ops, 0.4784 M, 0.4103 %, 119.75 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.400914, 0.392821, 0.422311, 0.749039, 195.39 M Ops, 31.31 M Ops, 8.46 M Ops, 0.4784 M, 0.3882 %, 67.09 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.402033, 0.394077, 0.423654, 0.748237, 196.07 M Ops, 30.96 M Ops, 8.81 M Ops, 0.4807 M, 0.3876 %, 68.39 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.402324, 0.393451, 0.422484, 0.748637, 199.11 M Ops, 30.69 M Ops, 8.49 M Ops, 0.4912 M, 0.3826 %, 66.68 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.399857, 0.391298, 0.421312, 0.750012, 195.79 M Ops, 31.15 M Ops, 8.41 M Ops, 0.4798 M, 0.3842 %, 66.74 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.399914, 0.391408, 0.421434, 0.749942, 195.79 M Ops, 31.24 M Ops, 8.41 M Ops, 0.4798 M, 0.3845 %, 66.81 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.401275, 0.392964, 0.422910, 0.748948, 197.02 M Ops, 30.94 M Ops, 8.45 M Ops, 0.4840 M, 0.3844 %, 66.71 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.399857, 0.391298, 0.421312, 0.750012, 195.79 M Ops, 31.15 M Ops, 8.41 M Ops, 0.4798 M, 0.3842 %, 66.74 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.428685, 0.415606, 0.442491, 0.734482, 195.79 M Ops, 8.91 M Ops, 8.41 M Ops, 0.4798 M, 0.3826 %, 46.72 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.401419, 0.392677, 0.421656, 0.749131, 195.79 M Ops, 29.49 M Ops, 8.41 M Ops, 0.4798 M, 0.3833 %, 65.24 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.423004, 0.407634, 0.436150, 0.739575, 195.79 M Ops, 11.93 M Ops, 8.41 M Ops, 0.4798 M, 0.3927 %, 49.44 uJ
