epoch,train_loss,train_score,train_rec,train_distill,val_loss,val_score,val_rec,val_distill
0,1.403551,0.061586,0.759473,0.068601,1.336602,0.043018,0.654542,0.075255
1,1.277098,0.037146,0.572898,0.081006,1.216775,0.023570,0.562749,0.087441
2,1.164163,0.026402,0.505414,0.090928,1.105687,0.014712,0.507299,0.096606
3,1.058312,0.022174,0.458935,0.098254,1.001334,0.011363,0.465152,0.103030
4,0.958316,0.020542,0.424296,0.103539,0.902672,0.009909,0.433021,0.107610
5,0.863987,0.019590,0.399165,0.107766,0.810064,0.009095,0.410813,0.111278
6,0.776499,0.019305,0.380696,0.110944,0.724154,0.008669,0.393289,0.113865
7,0.695845,0.018706,0.366266,0.113189,0.645816,0.008375,0.379324,0.115011
8,0.624040,0.018506,0.353884,0.114537,0.576011,0.008119,0.366955,0.116622
9,0.562184,0.018413,0.342874,0.115644,0.516374,0.008095,0.355490,0.116900
10,0.511341,0.018222,0.333336,0.116539,0.467489,0.007909,0.345795,0.118027
11,0.473506,0.018258,0.325188,0.117558,0.430700,0.007740,0.338139,0.119758
12,0.448329,0.018232,0.318289,0.118065,0.405492,0.007621,0.331598,0.119674
13,0.433053,0.017917,0.312352,0.118385,0.389757,0.007494,0.325544,0.119291
14,0.426171,0.017856,0.307076,0.118814,0.380384,0.007351,0.319857,0.120607
15,0.421799,0.017567,0.302320,0.119843,0.374868,0.007236,0.315019,0.121565
16,0.420728,0.017753,0.297563,0.121423,0.371750,0.007140,0.310129,0.123792
17,0.418155,0.017578,0.293202,0.123422,0.370034,0.007178,0.305402,0.125072
18,0.415675,0.017428,0.288815,0.125931,0.366885,0.006922,0.301350,0.128612
19,0.414036,0.017440,0.284503,0.128592,0.364656,0.006939,0.296323,0.130680
20,0.411649,0.017313,0.280117,0.132190,0.362672,0.006903,0.291544,0.134169
21,0.409510,0.017252,0.275554,0.136468,0.359804,0.006709,0.286527,0.139029
22,0.407244,0.017180,0.270846,0.140915,0.357426,0.006679,0.281594,0.143820
23,0.405529,0.017236,0.265934,0.145932,0.354951,0.006630,0.276008,0.149026
24,0.403779,0.017295,0.260942,0.151430,0.353313,0.006638,0.271029,0.154741
25,0.400135,0.016979,0.256096,0.156991,0.349854,0.006541,0.265806,0.160624
26,0.399328,0.017208,0.251340,0.162797,0.348095,0.006477,0.261395,0.166325
27,0.396816,0.017078,0.247007,0.168399,0.346080,0.006527,0.256537,0.171899
28,0.396361,0.017308,0.243165,0.173637,0.344570,0.006422,0.252557,0.177690
29,0.393956,0.017120,0.239833,0.178300,0.343112,0.006482,0.249468,0.181161
30,0.392916,0.017137,0.237233,0.182548,0.341985,0.006538,0.246531,0.185240
31,0.392178,0.017165,0.235201,0.186279,0.341502,0.006526,0.244623,0.188589
