loss,mse,mae,total_op,ACop,MACop,capacity,firing_rate,energy,mse_long,mae_long,R2
0.439101,0.467924,0.438345,230.19 M Ops,29.89 M Ops,8.77 M Ops,0.5868 M,0.2235 %,67.26 uJ,0.519909,0.466911,0.575890
loss,mse,mae,total_op,ACop,MACop,capacity,firing_rate,energy,mse_long,mae_long,R2
0.441542,0.475406,0.440618,230.19 M Ops,31.76 M Ops,8.77 M Ops,0.5868 M,0.2169 %,68.94 uJ,0.530240,0.470193,0.569108
loss,mse,mae,total_op,ACop,MACop,capacity,firing_rate,energy,mse_long,mae_long,R2
0.439422,0.469600,0.438497,230.19 M Ops,32.29 M Ops,8.77 M Ops,0.5868 M,0.2178 %,69.42 uJ,0.522266,0.467094,0.574370
loss,mse,mae,total_op,ACop,MACop,capacity,firing_rate,energy,mse_long,mae_long,R2
0.439290,0.467171,0.438377,230.19 M Ops,30.55 M Ops,8.77 M Ops,0.5868 M,0.2202 %,67.85 uJ,0.519500,0.467256,0.576571
loss,mse,mae,total_op,ACop,MACop,capacity,firing_rate,energy,mse_long,mae_long,R2
0.441330,0.478220,0.440477,229.94 M Ops,30.05 M Ops,8.77 M Ops,0.5826 M,0.2340 %,67.40 uJ,0.532462,0.469043,0.566557
loss,mse,mae,total_op,ACop,MACop,capacity,firing_rate,energy,mse_long,mae_long,R2
0.442362,0.481143,0.441507,230.44 M Ops,30.65 M Ops,8.77 M Ops,0.5826 M,0.2334 %,67.94 uJ,0.535892,0.470247,0.563908
loss,mse,mae,total_op,ACop,MACop,capacity,firing_rate,energy,mse_long,mae_long,R2
0.440981,0.474718,0.440157,230.44 M Ops,29.97 M Ops,8.77 M Ops,0.5826 M,0.2354 %,67.34 uJ,0.528280,0.469218,0.569731
loss,mse,mae,total_op,ACop,MACop,capacity,firing_rate,energy,mse_long,mae_long,R2
0.440470,0.474582,0.439565,230.19 M Ops,29.18 M Ops,8.77 M Ops,0.5826 M,0.2361 %,66.62 uJ,0.527821,0.467844,0.569854
loss,mse,mae,total_op,ACop,MACop,capacity,firing_rate,energy,mse_long,mae_long,R2
0.443032,0.482163,0.442272,230.19 M Ops,30.00 M Ops,8.77 M Ops,0.5826 M,0.2363 %,67.35 uJ,0.536980,0.471138,0.562984
loss,mse,mae,total_op,ACop,MACop,capacity,firing_rate,energy,mse_long,mae_long,R2
0.440795,0.474942,0.439924,230.19 M Ops,29.00 M Ops,8.77 M Ops,0.5826 M,0.2359 %,66.46 uJ,0.528555,0.468619,0.569529
loss,mse,mae,total_op,ACop,MACop,capacity,firing_rate,energy,mse_long,mae_long,R2
0.439809,0.471800,0.438943,230.21 M Ops,31.24 M Ops,8.80 M Ops,0.5827 M,0.2486 %,68.58 uJ,0.523903,0.467262,0.572376
loss,mse,mae,total_op,ACop,MACop,capacity,firing_rate,energy,mse_long,mae_long,R2
0.439809,0.471800,0.438943,230.21 M Ops,31.24 M Ops,8.80 M Ops,0.5827 M,0.2486 %,68.58 uJ,0.523903,0.467262,0.572376
loss,mse,mae,total_op,ACop,MACop,capacity,firing_rate,energy,mse_long,mae_long,R2
0.441887,0.479765,0.441044,227.37 M Ops,29.28 M Ops,6.21 M Ops,0.5827 M,0.2039 %,54.94 uJ,0.534086,0.469761,0.565157
