loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.380662, 0.376293, 0.406449, 81.67 M Ops, 9.72 M Ops, 5.20 M Ops, 0.3489 M, 0.3969 %, 32.64 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.380811, 0.376425, 0.406633, 81.67 M Ops, 9.72 M Ops, 5.20 M Ops, 0.3489 M, 0.3984 %, 32.64 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.401918, 0.397609, 0.424477, 27.36 M Ops, 3.00 M Ops, 4.80 M Ops, 0.0577 M, 0.3626 %, 24.77 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.380094, 0.375739, 0.406184, 81.67 M Ops, 9.71 M Ops, 5.20 M Ops, 0.3489 M, 0.3969 %, 32.63 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.380382, 0.376019, 0.406379, 81.67 M Ops, 9.74 M Ops, 5.20 M Ops, 0.3489 M, 0.3966 %, 32.66 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.375904, 0.371544, 0.404111, 81.67 M Ops, 9.63 M Ops, 5.20 M Ops, 0.3489 M, 0.3961 %, 32.57 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.380166, 0.375788, 0.406216, 81.67 M Ops, 9.68 M Ops, 5.20 M Ops, 0.3489 M, 0.3964 %, 32.61 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.378031, 0.373593, 0.404803, 82.84 M Ops, 9.68 M Ops, 5.59 M Ops, 0.3489 M, 0.5045 %, 34.41 uJ
