epoch,train_loss,train_score,train_rec,train_distill,val_loss,val_score,val_rec,val_distill
0,1.366433,0.259998,0.098650,0.466835,1.061557,tensor(0.0014),0.102441,0.436080
1,0.944284,0.103055,0.093760,0.418818,0.778955,tensor(0.0012),0.099153,0.355530
2,0.797031,0.081052,0.091127,0.346177,0.737215,tensor(0.0008),0.114278,0.295488
3,0.779909,0.079440,0.088990,0.300929,0.700383,tensor(0.0006),0.100802,0.264631
4,0.771909,0.076442,0.088489,0.235240,0.675498,tensor(0.0004),0.090486,0.219230
5,0.772954,0.078196,0.087075,0.209467,0.680612,tensor(0.0005),0.092848,0.203850
6,0.764036,0.075646,0.085713,0.204537,0.674683,tensor(0.0009),0.091639,0.195460
7,0.767697,0.078110,0.084763,0.195956,0.669558,tensor(0.0011),0.088042,0.189175
8,0.755205,0.073775,0.083691,0.192547,0.658601,tensor(0.0007),0.086570,0.191714
9,0.751166,0.072355,0.083390,0.195586,0.650863,tensor(0.0008),0.084007,0.200707
10,0.759889,0.076266,0.083150,0.199699,0.653137,tensor(0.0008),0.084497,0.204622
11,0.755826,0.074806,0.082877,0.203011,0.651198,tensor(0.0007),0.084226,0.204183
