loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.402437, 0.400710, 0.428396, 0.743999, 14.17 M Ops, 1.45 M Ops, 0.64 M Ops, 0.9736 M, 0.3600 %, 4.27 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.403392, 0.401633, 0.428638, 0.743409, 14.49 M Ops, 1.47 M Ops, 0.66 M Ops, 0.9736 M, 0.3825 %, 4.37 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.401734, 0.399594, 0.426508, 0.744712, 14.17 M Ops, 1.41 M Ops, 1.23 M Ops, 0.9736 M, 0.3796 %, 6.93 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.402328, 0.400379, 0.427745, 0.744211, 14.17 M Ops, 1.47 M Ops, 1.23 M Ops, 0.9736 M, 0.3798 %, 6.98 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.400767, 0.398631, 0.425963, 0.745327, 14.17 M Ops, 1.43 M Ops, 1.23 M Ops, 0.9736 M, 0.3801 %, 6.95 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.405526, 0.403646, 0.429562, 0.742123, 14.17 M Ops, 1.45 M Ops, 0.64 M Ops, 0.9736 M, 0.3614 %, 4.26 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.402437, 0.400710, 0.428396, 0.743999, 14.17 M Ops, 1.45 M Ops, 0.64 M Ops, 0.9736 M, 0.3600 %, 4.27 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.401850, 0.400135, 0.427493, 0.744367, 12.62 M Ops, 1.34 M Ops, 0.57 M Ops, 0.9684 M, 0.3386 %, 3.83 uJ
