epoch,train_loss,train_mse,train_mae,train_max_abs_state,train_firing_rate,train_eta,train_kappa,train_would_cap_rate,train_support_p,train_score_std,train_grad_WQ_norm,train_grad_WQ_norm_observations,train_grad_WK_norm,train_grad_WK_norm_observations,train_grad_eta_hat_norm,train_grad_eta_hat_norm_observations,train_grad_WQ_absmax,train_grad_WQ_absmax_observations,train_grad_WK_absmax,train_grad_WK_absmax_observations,train_grad_absmax_all,train_grad_absmax_all_observations,train_singleton_frac,train_singleton_frac_observations,train_grad_total_norm_pre_mean,train_grad_total_norm_pre_max,train_grad_total_norm_post_max,train_clip_rate_all_batches,train_batches_seen,val_loss,val_mse,val_mae
0,0.277307,0.277307,0.440200,18.736622,0.212309,0.017759,1.000000,0.000000,0.503393,0.937550,0.004808,4.000000,0.062650,4.000000,0.000548,4.000000,0.006595,4.000000,0.175913,4.000000,2.225533,4.000000,0.056903,4.000000,1.491407,3.961308,1.000000,0.625000,32.000000,0.252386,0.252386,0.414915
1,0.238708,0.238708,0.399330,23.093765,0.228952,0.017436,1.000000,0.000000,0.503606,0.928079,0.004224,4.000000,0.019020,4.000000,0.000177,4.000000,0.004528,4.000000,0.024701,4.000000,0.805737,4.000000,0.060219,4.000000,0.840425,1.431741,0.999999,0.250000,32.000000,0.240214,0.240214,0.397434
2,0.232786,0.232786,0.391625,22.309320,0.224342,0.017607,1.000000,0.000000,0.491456,0.881994,0.004637,4.000000,0.012073,4.000000,0.000520,4.000000,0.004117,4.000000,0.010234,4.000000,0.537017,4.000000,0.058091,4.000000,0.798539,2.618225,1.000000,0.187500,32.000000,0.237117,0.237117,0.395413
3,0.230111,0.230111,0.388796,24.068716,0.214780,0.018379,1.000000,0.000000,0.462596,0.815648,0.004093,4.000000,0.006385,4.000000,0.000867,4.000000,0.003882,4.000000,0.009081,4.000000,1.123150,4.000000,0.056968,4.000000,0.843650,2.341290,1.000000,0.218750,32.000000,0.235164,0.235164,0.392138
4,0.228207,0.228207,0.386987,23.792049,0.217163,0.019411,1.000000,0.000000,0.434751,0.729224,0.004853,4.000000,0.009317,4.000000,0.001794,4.000000,0.003427,4.000000,0.016360,4.000000,0.620637,4.000000,0.057370,4.000000,0.671645,1.576076,0.999999,0.156250,32.000000,0.231775,0.231775,0.389952
5,0.226469,0.226469,0.385147,23.151325,0.209647,0.020528,1.000000,0.000000,0.405337,0.620137,0.006588,4.000000,0.016818,4.000000,0.002419,4.000000,0.005162,4.000000,0.022350,4.000000,1.192138,4.000000,0.062172,4.000000,0.747061,1.578747,0.999999,0.281250,32.000000,0.230622,0.230622,0.389051
6,0.224449,0.224449,0.383780,22.400911,0.206110,0.021747,1.000000,0.000000,0.388868,0.504636,0.004825,4.000000,0.020476,4.000000,0.002624,4.000000,0.003718,4.000000,0.038393,4.000000,0.445874,4.000000,0.057858,4.000000,0.552629,1.095521,0.999999,0.093750,32.000000,0.229268,0.229268,0.387780
7,0.223495,0.223495,0.382615,24.282660,0.207197,0.022894,1.000000,0.000000,0.390279,0.456590,0.009729,4.000000,0.026971,4.000000,0.003032,4.000000,0.006961,4.000000,0.041546,4.000000,0.893278,4.000000,0.054950,4.000000,0.809929,3.475737,1.000000,0.187500,32.000000,0.228399,0.228399,0.387371
8,0.223077,0.223077,0.382214,24.415119,0.197266,0.023930,1.000000,0.000000,0.381348,0.463119,0.008257,4.000000,0.037241,4.000000,0.003274,4.000000,0.006682,4.000000,0.031187,4.000000,1.155357,4.000000,0.057248,4.000000,0.726029,1.721491,1.000000,0.187500,32.000000,0.228053,0.228053,0.387187
9,0.222610,0.222610,0.381871,23.902222,0.194734,0.024900,1.000000,0.000000,0.386457,0.463035,0.074344,4.000000,0.200023,4.000000,0.013422,4.000000,0.114319,4.000000,0.380710,4.000000,2.406213,4.000000,0.055625,4.000000,0.972114,3.295773,1.000000,0.343750,32.000000,0.228222,0.228222,0.387003
10,0.222212,0.222212,0.381173,25.457243,0.189430,0.025689,1.000000,0.000000,0.393192,0.485062,0.010575,4.000000,0.044750,4.000000,0.003952,4.000000,0.011205,4.000000,0.059257,4.000000,0.901856,4.000000,0.054741,4.000000,0.606757,1.145534,0.999999,0.093750,32.000000,0.227129,0.227129,0.385773
11,0.220952,0.220952,0.380417,25.436817,0.189651,0.026544,1.000000,0.000000,0.387283,0.467888,0.048886,4.000000,0.283805,4.000000,0.009012,4.000000,0.069380,4.000000,0.715647,4.000000,1.456555,4.000000,0.055399,4.000000,0.633793,1.971535,0.999999,0.125000,32.000000,0.226737,0.226737,0.385722
