epoch,train_loss,train_mse,train_mae,val_loss,val_mse,val_mae
0,0.668742,0.668742,0.595463,1.383685,1.383685,0.836526
1,0.574807,0.574807,0.546569,1.340680,1.340680,0.822473
2,0.560017,0.560017,0.539260,1.318287,1.318287,0.813199
3,0.550007,0.550007,0.534450,1.316743,1.316743,0.814373
4,0.542023,0.542023,0.530510,1.312939,1.312939,0.810402
5,0.537662,0.537662,0.528687,1.322053,1.322053,0.813785
6,0.533314,0.533314,0.526114,1.321361,1.321361,0.813158
7,0.527350,0.527350,0.523009,1.307160,1.307160,0.808825
8,0.524474,0.524474,0.521884,1.305339,1.305339,0.809807
9,0.522111,0.522111,0.520603,1.310452,1.310452,0.809241
