epoch,train_loss,train_mse,train_mae,train_max_abs_state,train_firing_rate,train_eta,train_kappa,train_would_cap_rate,train_support_p,train_score_std,train_grad_WQ_norm,train_grad_WQ_norm_observations,train_grad_WK_norm,train_grad_WK_norm_observations,train_grad_eta_hat_norm,train_grad_eta_hat_norm_observations,train_grad_WQ_absmax,train_grad_WQ_absmax_observations,train_grad_WK_absmax,train_grad_WK_absmax_observations,train_grad_absmax_all,train_grad_absmax_all_observations,train_singleton_frac,train_singleton_frac_observations,train_grad_total_norm_pre_mean,train_grad_total_norm_pre_max,train_grad_total_norm_post_max,train_clip_rate_all_batches,train_batches_seen,val_loss,val_mse,val_mae
0,0.326416,0.326416,0.484164,17.762022,0.156410,0.017882,1.000000,0.000000,0.493641,0.961116,0.006550,4.000000,0.046479,4.000000,0.000406,4.000000,0.006405,4.000000,0.090403,4.000000,0.850217,4.000000,0.058445,4.000000,0.779410,2.324863,1.000000,0.156250,32.000000,0.294440,0.294440,0.459883
1,0.271149,0.271149,0.436078,15.648961,0.152326,0.017575,1.000000,0.000000,0.516394,0.950753,0.005835,4.000000,0.011372,4.000000,0.000277,4.000000,0.005694,4.000000,0.010755,4.000000,0.333956,4.000000,0.061666,4.000000,0.449713,0.779355,0.779355,0.000000,32.000000,0.265575,0.265575,0.430453
2,0.254412,0.254412,0.416041,17.603844,0.167111,0.017684,1.000000,0.000000,0.510834,0.905248,0.005765,4.000000,0.011423,4.000000,0.000476,4.000000,0.005506,4.000000,0.011419,4.000000,0.236103,4.000000,0.058376,4.000000,0.448266,1.096136,0.999999,0.031250,32.000000,0.253337,0.253337,0.415215
3,0.245257,0.245257,0.405599,17.561680,0.157058,0.018566,1.000000,0.000000,0.463185,0.832674,0.006607,4.000000,0.010340,4.000000,0.001822,4.000000,0.006786,4.000000,0.008909,4.000000,0.209397,4.000000,0.056810,4.000000,0.469966,0.797600,0.797600,0.000000,32.000000,0.243909,0.243909,0.403773
4,0.238068,0.238068,0.397899,17.903315,0.151079,0.019738,1.000000,0.000000,0.407305,0.762793,0.004317,4.000000,0.008159,4.000000,0.003129,4.000000,0.004220,4.000000,0.007231,4.000000,0.377263,4.000000,0.060059,4.000000,0.487376,1.120647,0.999999,0.031250,32.000000,0.239538,0.239538,0.398695
5,0.233636,0.233636,0.392598,19.671309,0.148810,0.020967,1.000000,0.000000,0.377145,0.734811,0.003204,4.000000,0.009110,4.000000,0.004444,4.000000,0.002447,4.000000,0.010216,4.000000,0.366377,4.000000,0.059600,4.000000,0.454117,0.727595,0.727595,0.000000,32.000000,0.235414,0.235414,0.393548
6,0.230951,0.230951,0.390251,17.494768,0.141773,0.022163,1.000000,0.000000,0.361078,0.730811,0.003563,4.000000,0.006370,4.000000,0.005062,4.000000,0.002634,4.000000,0.005894,4.000000,0.549675,4.000000,0.059472,4.000000,0.495258,0.808192,0.808192,0.000000,32.000000,0.232376,0.232376,0.392204
7,0.228563,0.228563,0.387520,19.817045,0.143293,0.023310,1.000000,0.000000,0.350246,0.723306,0.003208,4.000000,0.005986,4.000000,0.004172,4.000000,0.002714,4.000000,0.005350,4.000000,0.188523,4.000000,0.058510,4.000000,0.460612,1.211372,0.999999,0.031250,32.000000,0.230407,0.230407,0.389087
8,0.227369,0.227369,0.386162,20.760912,0.140032,0.024428,1.000000,0.000000,0.338055,0.720604,0.003713,4.000000,0.009602,4.000000,0.004940,4.000000,0.003413,4.000000,0.011067,4.000000,0.573655,4.000000,0.057787,4.000000,0.590103,1.149924,0.999999,0.093750,32.000000,0.229434,0.229434,0.388132
9,0.226096,0.226096,0.385302,21.985756,0.145246,0.025576,1.000000,0.000000,0.331117,0.709967,0.003520,4.000000,0.007451,4.000000,0.004897,4.000000,0.003468,4.000000,0.011393,4.000000,0.416222,4.000000,0.056801,4.000000,0.565894,1.128508,0.999999,0.031250,32.000000,0.231361,0.231361,0.389480
10,0.224466,0.224466,0.383551,22.071272,0.148007,0.026711,1.000000,0.000000,0.328732,0.708158,0.003411,4.000000,0.008692,4.000000,0.005062,4.000000,0.002330,4.000000,0.011834,4.000000,0.188910,4.000000,0.054536,4.000000,0.445880,1.044296,0.999999,0.031250,32.000000,0.229633,0.229633,0.387296
11,0.223541,0.223541,0.382190,23.164465,0.148243,0.027910,1.000000,0.000000,0.322397,0.702613,0.003821,4.000000,0.012883,4.000000,0.006223,4.000000,0.004730,4.000000,0.016272,4.000000,0.385821,4.000000,0.055179,4.000000,0.439748,0.876539,0.876539,0.000000,32.000000,0.229497,0.229497,0.387559
