split     label        seed   recorded  recomputed    |diff|  seqs  max|u| finite  safe kept mass       tie manifest

[safety] 2J D-AN (q=0.5 vs q=1, confirm2): recorded verdict stands (all models safe, reproduced, manifest OK)
[safety] 2K D-AR pearson - recent (confirm3): recorded verdict stands (all models safe, reproduced, manifest OK)
[safety] 2K D-AR pearson - random (confirm3): recorded verdict stands (all models safe, reproduced, manifest OK)
[safety] 2K secondary recent - q1: recorded verdict stands (all models safe, reproduced, manifest OK)
[safety] 2K secondary random - q1: recorded verdict stands (all models safe, reproduced, manifest OK)
[safety] pearson top-k boundary ties on trained hard models: max rate 2.439e-05 over 16 evaluations; mask reconstruction mismatches 0
[safety] kept kernel mass fraction 2J          mean 0.7692  (descriptive, D-AU 6)
[safety] kept kernel mass fraction 2K/q1       mean 1.0000  (descriptive, D-AU 6)
[safety] kept kernel mass fraction 2K/pearson  mean 0.5390  (descriptive, D-AU 6)
[safety] kept kernel mass fraction 2K/recent   mean 0.5954  (descriptive, D-AU 6)
[safety] kept kernel mass fraction 2K/random   mean 0.5147  (descriptive, D-AU 6)
[safety] recorded to /home/yschoi/CLS_spiking_transformer/Bio-inspired-Spiking-Memory-Transformer-for-time-series-representation-learning/NSMT/f_lif_pop_v3/forecasting/results/hardsafety-170640/hard_safety_record.json

=== per-row table, regenerated from hard_safety_record.json (the run's stdout filter dropped rows starting with "confirm") ===
split     label        seed    q     recorded   recomputed   |diff|  seqs  max|u| finite  safe   kept      ties manifest
confirm3  2K/recent     123  0.5  0.330337077  0.330337077  0.0e+00  1000   26.00   True  True 0.5954         -       OK
confirm3  2K/random     123  0.5  0.266567276  0.266567276  0.0e+00  1000   32.09   True  True 0.5147         -       OK
confirm3  2K/q1         256    1  0.245417063  0.245417063  0.0e+00  1000   27.62   True  True 1.0000         -       OK
confirm3  2K/pearson    256  0.5  0.117565926  0.117565926  0.0e+00  1000   26.25   True  True 0.5387  0.00e+00       OK
confirm3  2K/recent     256  0.5  0.331009066  0.331009066  0.0e+00  1000   21.98   True  True 0.5954         -       OK
confirm3  2K/random     256  0.5  0.264077368  0.264077368  0.0e+00  1000   30.93   True  True 0.5146         -       OK
confirm3  2K/q1         512    1  0.246705585  0.246705585  0.0e+00  1000   30.85   True  True 1.0000         -       OK
confirm3  2K/pearson    512  0.5  0.122337072  0.122337072  0.0e+00  1000   30.43   True  True 0.5387  0.00e+00       OK
confirm3  2K/recent     512  0.5  0.331328263  0.331328263  0.0e+00  1000   17.08   True  True 0.5954         -       OK
confirm3  2K/random     512  0.5  0.269957099  0.269957099  0.0e+00  1000   31.69   True  True 0.5146         -       OK
confirm3  2K/q1        1024    1  0.247671379  0.247671379  0.0e+00  1000   45.02   True  True 1.0000         -       OK
confirm3  2K/pearson   1024  0.5  0.127706798  0.127706798  0.0e+00  1000   45.47   True  True 0.5378  0.00e+00       OK
confirm3  2K/recent    1024  0.5  0.331384276  0.331384276  0.0e+00  1000   19.82   True  True 0.5954         -       OK
confirm3  2K/random    1024  0.5  0.264771840  0.264771840  0.0e+00  1000   60.91   True  True 0.5148         -       OK

rows 48; all ok True; max |diff| 0.0e+00; min seqs 1000; max max|u| 60.91 (bound 305.0375175476074); nonfinite batches 0; manifest errors 0
rows with ties > 0: [('confirm2', 7, 2.4390243902439026e-05, 41000)] | tie counts: [1]
