checkpoint: myModel_recall_recall_p96_flatten_a0.7_spike_heterogeneous_sparse_eta0_k3_seed7
eta = 0.0, alpha = 0.7, tau = [4.0, 8.0, 16.0, 32.0], G11 bound = 305.0375175476074
b_0 = 1.1005, B(T-1) = 13.9615
[gate] local recurrence vs model at m == 1: max |diff| = 0.000e+00  OK

=== permutation-null thresholds (TRAIN split, label-free) ===
   axis     stat        n     q0.9    q0.95    q0.99
   unit  pearson  6641632   0.9910   0.9970   0.9996
   unit   cosine  6641632   0.9869   0.9953   0.9993
 shared  pearson   207551   0.9034   0.9535   0.9867
 shared   cosine   207551   0.9060   0.9549   0.9872
  input  pearson   207551   1.0000   1.0000   1.0000
  input   cosine   207551   1.0000   1.0000   1.0000

=== what the similarity points at (validation, eta=0 trajectory, per query) ===
   axis     stat  argmax = prev slot  best answer rank   chance
   unit  pearson              0.2958            0.2788   0.2120
   unit   cosine              0.3470            0.3108   0.2120
 shared  pearson              0.4763            0.1785   0.2120
 shared   cosine              0.4788            0.1792   0.2120
  input  pearson              0.0950            0.1956   0.2120
  input   cosine              0.0950            0.1956   0.2120
rank: 0 = most similar of the n past slots, normalised by n-1; chance = (n-m)/((m+1)(n-1)).

validation: 256 sequences, 4 batches, random control = 32 draws

=== frozen ===
setting    axis     stat      rule   M_eff  random  oracle  kept%  kept  empty% ans.kept any-hit    rand  max|u|  G11
 frozen   input  pearson  null0.95  0.0000  0.0781  1.0000   12.4  3.55   39.31   0.0000  0.0000  0.3248   22.85   OK
 frozen   input  pearson  null0.99  0.0000  0.0775  1.0000   12.4  3.55   39.31   0.0000  0.0000  0.3248   22.85   OK
 frozen   input  pearson    top10%  0.1187  0.1463  1.0000   10.0  2.60    0.00   0.0702  0.1673  0.3259   22.85   OK
 frozen   input  pearson    top25%  0.2400  0.1379  1.0000   25.0  6.45    0.00   0.4274  0.6318  0.6454   22.85   OK
 frozen   input  pearson    top50%  0.2672  0.1349  1.0000   50.0 12.88    0.00   0.9882  0.9993  0.9008   22.85   OK
 frozen   input   cosine  null0.90  0.0000  0.0783  1.0000   12.4  3.55   39.31   0.0000  0.0000  0.3248   22.85   OK
 frozen   input   cosine  null0.95  0.0000  0.0392  1.0000    6.1  1.74   69.98   0.0000  0.0000  0.1608   22.85   OK
 frozen   input   cosine  null0.99  0.0000  0.0392  1.0000    6.1  1.74   69.98   0.0000  0.0000  0.1608   22.85   OK
 frozen   input   cosine    top10%  0.1187  0.1480  1.0000   10.0  2.60    0.00   0.0702  0.1673  0.3259   22.85   OK
 frozen   input   cosine    top25%  0.2399  0.1380  1.0000   25.0  6.45    0.00   0.4274  0.6318  0.6454   22.85   OK
