loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.409178, 0.407106, 0.435139, 110.43 M Ops, 14.48 M Ops, 5.93 M Ops, 0.6683 M, 0.4596 %, 40.30 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.408709, 0.406796, 0.435160, 110.43 M Ops, 14.45 M Ops, 5.93 M Ops, 0.6683 M, 0.4593 %, 40.28 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.408328, 0.406412, 0.435217, 110.43 M Ops, 14.43 M Ops, 5.90 M Ops, 0.6683 M, 0.4522 %, 40.12 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.411373, 0.409306, 0.436573, 110.43 M Ops, 14.46 M Ops, 5.92 M Ops, 0.6642 M, 0.4586 %, 40.24 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.406903, 0.405051, 0.434372, 110.43 M Ops, 14.48 M Ops, 5.89 M Ops, 0.6650 M, 0.4515 %, 40.14 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.403289, 0.401395, 0.432512, 110.43 M Ops, 14.31 M Ops, 5.93 M Ops, 0.6650 M, 0.4590 %, 40.15 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.403289, 0.401395, 0.432512, 110.43 M Ops, 14.31 M Ops, 5.93 M Ops, 0.6650 M, 0.4590 %, 40.15 uJ
