epoch,train_loss,train_mse,train_mae,val_loss,val_mse,val_mae
0,0.526484,0.526484,0.521279,0.831802,0.831802,0.636028
1,0.396945,0.396945,0.451626,0.789284,0.789284,0.620094
2,0.380364,0.380364,0.441245,0.762230,0.762230,0.609954
3,0.370868,0.370868,0.434968,0.748674,0.748674,0.600267
4,0.362074,0.362074,0.429153,0.739237,0.739237,0.596215
5,0.354883,0.354883,0.424518,0.720411,0.720411,0.587770
6,0.350343,0.350343,0.421774,0.717979,0.717979,0.585606
7,0.346102,0.346102,0.418993,0.729604,0.729604,0.589292
8,0.342254,0.342254,0.416478,0.724956,0.724956,0.585211
9,0.338983,0.338983,0.414633,0.726895,0.726895,0.585289
10,0.334997,0.334997,0.412024,0.727201,0.727201,0.584294
11,0.333607,0.333607,0.411277,0.725297,0.725297,0.583512
12,0.332276,0.332276,0.410290,0.735373,0.735373,0.586133
