epoch,train_loss,train_mse,train_mae,val_loss,val_mse,val_mae
0,0.553039,0.553039,0.537363,0.939583,0.939583,0.683544
1,0.428328,0.428328,0.471388,0.901250,0.901250,0.667987
2,0.412042,0.412042,0.462186,0.862150,0.862150,0.650553
3,0.400601,0.400601,0.455234,0.852444,0.852444,0.642945
4,0.390966,0.390966,0.448464,0.827807,0.827807,0.634938
5,0.385246,0.385246,0.444680,0.809047,0.809047,0.626718
6,0.381272,0.381272,0.442672,0.798520,0.798520,0.621536
7,0.377716,0.377716,0.440751,0.800106,0.800106,0.623187
8,0.373565,0.373565,0.437877,0.788025,0.788025,0.618413
9,0.370763,0.370763,0.436190,0.780500,0.780500,0.612817
