loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.417193, 0.406570, 0.428018, 0.740255, 129.93 M Ops, 21.44 M Ops, 4.86 M Ops, 0.5467 M, 0.3714 %, 41.65 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.418384, 0.408427, 0.429629, 0.739069, 113.22 M Ops, 17.33 M Ops, 3.91 M Ops, 0.5467 M, 0.2633 %, 33.58 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.419000, 0.408914, 0.429810, 0.738758, 107.77 M Ops, 11.14 M Ops, 2.49 M Ops, 0.5457 M, 0.2010 %, 21.47 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.429055, 0.423006, 0.436937, 0.729755, 107.77 M Ops, 11.31 M Ops, 2.49 M Ops, 0.5457 M, 0.1994 %, 21.63 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.424019, 0.415472, 0.432438, 0.734568, 107.77 M Ops, 16.68 M Ops, 2.49 M Ops, 0.5457 M, 0.2038 %, 26.46 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.419000, 0.408914, 0.429810, 0.738758, 107.77 M Ops, 11.14 M Ops, 2.49 M Ops, 0.5457 M, 0.2010 %, 21.47 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.418156, 0.408243, 0.428349, 0.739186, 109.08 M Ops, 16.79 M Ops, 3.67 M Ops, 0.5457 M, 0.2506 %, 32.01 uJ
