epoch,train_loss,train_mse,train_mae,val_loss,val_mse,val_mae
0,0.533434,0.533434,0.524783,0.859748,0.859748,0.649773
1,0.400040,0.400040,0.453860,0.780083,0.780083,0.610283
2,0.375231,0.375231,0.438099,0.761819,0.761819,0.608070
3,0.365897,0.365897,0.432461,0.759535,0.759535,0.603670
4,0.360618,0.360618,0.429637,0.770748,0.770748,0.611322
5,0.357020,0.357020,0.427301,0.754546,0.754546,0.601434
6,0.352253,0.352253,0.424310,0.769206,0.769206,0.606037
7,0.349574,0.349574,0.422812,0.762632,0.762632,0.604094
8,0.346940,0.346940,0.421211,0.761170,0.761170,0.602016
9,0.342207,0.342207,0.418380,0.758825,0.758825,0.599934
10,0.341293,0.341293,0.418006,0.755859,0.755859,0.597071
11,0.339142,0.339142,0.416765,0.759028,0.759028,0.598442
