epoch,train_loss,train_mse,train_mae,val_loss,val_mse,val_mae
0,0.541991,0.541991,0.467324,0.263368,0.263368,0.370813
1,0.406548,0.406548,0.385020,0.261846,0.261846,0.369414
2,0.388646,0.388646,0.378042,0.281976,0.281976,0.383541
3,0.373908,0.373908,0.372265,0.284734,0.284734,0.381200
4,0.361861,0.361861,0.370542,0.268131,0.268131,0.370586
5,0.350975,0.350975,0.368682,0.260406,0.260406,0.362765
6,0.346115,0.346115,0.366889,0.280554,0.280554,0.374472
7,0.342426,0.342426,0.368157,0.271560,0.271560,0.367376
8,0.337188,0.337188,0.367626,0.271826,0.271826,0.370646
9,0.334739,0.334739,0.367777,0.273887,0.273887,0.371935
10,0.333713,0.333713,0.368769,0.276479,0.276479,0.375584
11,0.331068,0.331068,0.367655,0.268417,0.268417,0.369316
