epoch,train_loss,train_mse,train_mae,val_loss,val_mse,val_mae
0,0.672551,0.672551,0.597041,1.377208,1.377208,0.832920
1,0.574294,0.574294,0.546056,1.339368,1.339368,0.823734
2,0.556762,0.556762,0.537252,1.317290,1.317290,0.814942
3,0.547108,0.547108,0.532163,1.307566,1.307566,0.811944
4,0.537942,0.537942,0.527667,1.296395,1.296395,0.806032
5,0.531558,0.531558,0.524885,1.289874,1.289874,0.802861
6,0.525102,0.525102,0.521761,1.291830,1.291830,0.802371
7,0.521279,0.521279,0.520070,1.286116,1.286116,0.802176
8,0.517821,0.517821,0.518295,1.288175,1.288175,0.805621
9,0.515409,0.515409,0.517581,1.273244,1.273244,0.798291
10,0.512421,0.512421,0.516021,1.286221,1.286221,0.801154
11,0.510705,0.510705,0.515224,1.278565,1.278565,0.799537
12,0.509966,0.509966,0.515503,1.286888,1.286888,0.803588
13,0.506985,0.506985,0.513868,1.279910,1.279910,0.801373
14,0.506025,0.506025,0.513486,1.270632,1.270632,0.796324
15,0.504401,0.504401,0.512645,1.270520,1.270520,0.795660
16,0.502791,0.502791,0.511901,1.266216,1.266216,0.794889
17,0.501587,0.501587,0.511301,1.273163,1.273163,0.797584
18,0.500380,0.500380,0.510925,1.276114,1.276114,0.797959
19,0.499238,0.499238,0.510230,1.274350,1.274350,0.798592
20,0.496456,0.496456,0.508845,1.273478,1.273478,0.799300
21,0.496051,0.496051,0.508949,1.275723,1.275723,0.799860
22,0.495559,0.495559,0.508636,1.276978,1.276978,0.801060
