loss, overall_acc, average_acc, f1, precision, sensitivity, total_op, ACop, MACop, capacity, firing_rate, energy, acc0, acc1
0.546977, 0.712195, 0.606508, 0.612451, 0.626835, 0.606508, 2393.46 M Ops, 131.58 M Ops, 619.47 M Ops, 5.1950 M, 0.3475 %, 2968.00 uJ, 0.844595, 0.368421
loss, overall_acc, average_acc, f1, precision, sensitivity, total_op, ACop, MACop, capacity, firing_rate, energy, acc0, acc1
0.546977, 0.712195, 0.606508, 0.612451, 0.626835, 0.606508, 2393.46 M Ops, 131.58 M Ops, 619.47 M Ops, 5.1950 M, 0.3475 %, 2968.00 uJ, 0.844595, 0.368421
loss, overall_acc, average_acc, f1, precision, sensitivity, total_op, ACop, MACop, capacity, firing_rate, energy, acc0, acc1
0.546977, 0.712195, 0.606508, 0.612451, 0.626835, 0.606508, 2393.46 M Ops, 131.58 M Ops, 619.47 M Ops, 5.1950 M, 0.3475 %, 2968.00 uJ, 0.844595, 0.368421
loss, overall_acc, average_acc, f1, precision, sensitivity, total_op, ACop, MACop, capacity, firing_rate, energy, acc0, acc1
0.546977, 0.712195, 0.606508, 0.612451, 0.626835, 0.606508, 2393.46 M Ops, 131.58 M Ops, 619.47 M Ops, 5.1950 M, 0.3475 %, 2968.00 uJ, 0.844595, 0.368421
loss, overall_acc, average_acc, f1, precision, sensitivity, total_op, ACop, MACop, capacity, firing_rate, energy, acc0, acc1
0.546977, 0.712195, 0.606508, 0.612451, 0.626835, 0.606508, 2393.46 M Ops, 131.58 M Ops, 619.47 M Ops, 5.1950 M, 0.3475 %, 2968.00 uJ, 0.844595, 0.368421
loss, overall_acc, average_acc, f1, precision, sensitivity, total_op, ACop, MACop, capacity, firing_rate, energy, acc0, acc1
0.546977, 0.712195, 0.606508, 0.612451, 0.626835, 0.606508, 2393.46 M Ops, 131.58 M Ops, 619.47 M Ops, 5.1950 M, 0.3475 %, 2968.00 uJ, 0.844595, 0.368421
loss, overall_acc, average_acc, f1, precision, sensitivity, total_op, ACop, MACop, capacity, firing_rate, energy, acc0, acc1
0.546977, 0.712195, 0.606508, 0.612451, 0.626835, 0.606508, 2393.46 M Ops, 131.58 M Ops, 619.47 M Ops, 5.1950 M, 0.3475 %, 2968.00 uJ, 0.844595, 0.368421
loss, overall_acc, average_acc, f1, precision, sensitivity, total_op, ACop, MACop, capacity, firing_rate, energy, acc0, acc1
0.546977, 0.712195, 0.606508, 0.612451, 0.626835, 0.606508, 2393.46 M Ops, 131.58 M Ops, 619.47 M Ops, 5.1950 M, 0.3475 %, 2968.00 uJ, 0.844595, 0.368421
