epoch,train_loss,train_ce,train_mse,val_loss,val_ce,val_mse,val_distill,val_tot_acc,val_acc,val_f1,val_pre
0,2.187642,2.187642,1.000000,2.182710,2.182710,0.000000,0.000000,0.156757,0.193002,0.109793,0.240932
1,2.133296,2.133296,1.000000,2.059005,2.059005,0.000000,0.000000,0.800000,0.789803,0.760548,0.831515
2,2.003516,2.003516,1.000000,1.878047,1.878047,0.000000,0.000000,0.851351,0.855152,0.826212,0.867648
3,1.824623,1.824623,1.000000,1.640126,1.640126,0.000000,0.000000,0.878378,0.890359,0.860279,0.883160
4,1.579554,1.579554,1.000000,1.326419,1.326419,0.000000,0.000000,0.889189,0.901507,0.872750,0.891381
5,1.300581,1.300581,1.000000,1.007716,1.007716,0.000000,0.000000,0.897297,0.910439,0.886325,0.898893
6,1.059635,1.059635,1.000000,0.750348,0.750348,0.000000,0.000000,0.924324,0.934581,0.919763,0.918320
7,0.881778,0.881778,1.000000,0.554716,0.554716,0.000000,0.000000,0.967568,0.968614,0.964315,0.962008
8,0.755269,0.755269,1.000000,0.417581,0.417581,0.000000,0.000000,0.964865,0.967705,0.963982,0.961218
9,0.667261,0.667261,1.000000,0.328349,0.328349,0.000000,0.000000,0.975676,0.975938,0.974611,0.973940
10,0.607654,0.607654,1.000000,0.283736,0.283736,0.000000,0.000000,0.972973,0.972106,0.970702,0.970329
11,0.572561,0.572561,1.000000,0.245964,0.245964,0.000000,0.000000,0.975676,0.975938,0.974611,0.973940
12,0.552074,0.552074,1.000000,0.246317,0.246317,0.000000,0.000000,0.972973,0.972763,0.971890,0.971939
13,0.536737,0.536737,1.000000,0.262962,0.262962,0.000000,0.000000,0.970270,0.971500,0.970243,0.970106
14,0.526547,0.526547,1.000000,0.231616,0.231616,0.000000,0.000000,0.978378,0.979112,0.977304,0.976009
15,0.519722,0.519722,1.000000,0.210996,0.210996,0.000000,0.000000,0.972973,0.972763,0.971890,0.971939
16,0.515643,0.515643,1.000000,0.205374,0.205374,0.000000,0.000000,0.978378,0.979112,0.977304,0.976009
17,0.511803,0.511803,1.000000,0.192046,0.192046,0.000000,0.000000,0.981081,0.980375,0.979003,0.978062
18,0.511748,0.511748,1.000000,0.247779,0.247779,0.000000,0.000000,0.970270,0.973412,0.970473,0.968343
19,0.510837,0.510837,1.000000,0.232593,0.232593,0.000000,0.000000,0.970270,0.973412,0.970385,0.968216
20,0.510847,0.510847,1.000000,0.193666,0.193666,0.000000,0.000000,0.975676,0.975281,0.973395,0.972398
21,0.506174,0.506174,1.000000,0.209074,0.209074,0.000000,0.000000,0.975676,0.975938,0.974611,0.973940
22,0.501029,0.501029,1.000000,0.205910,0.205910,0.000000,0.000000,0.975676,0.977849,0.974839,0.972315
23,0.498412,0.498412,1.000000,0.205635,0.205635,0.000000,0.000000,0.978378,0.979112,0.977304,0.976009
24,0.496710,0.496710,1.000000,0.217832,0.217832,0.000000,0.000000,0.975676,0.975938,0.974611,0.973940
25,0.495750,0.495750,1.000000,0.199018,0.199018,0.000000,0.000000,0.975676,0.975938,0.974611,0.973940
26,0.494732,0.494732,1.000000,0.198902,0.198902,0.000000,0.000000,0.978378,0.979112,0.977304,0.976009
27,0.493666,0.493666,1.000000,0.215587,0.215587,0.000000,0.000000,0.975676,0.975938,0.974611,0.973940
28,0.492874,0.492874,1.000000,0.199341,0.199341,0.000000,0.000000,0.970270,0.973412,0.969736,0.966798
29,0.492256,0.492256,1.000000,0.203364,0.203364,0.000000,0.000000,0.970270,0.973412,0.969222,0.965801
30,0.491706,0.491706,1.000000,0.209535,0.209535,0.000000,0.000000,0.970270,0.973412,0.969222,0.965801
31,0.491129,0.491129,1.000000,0.205102,0.205102,0.000000,0.000000,0.970270,0.973412,0.969222,0.965801
32,0.490654,0.490654,1.000000,0.207194,0.207194,0.000000,0.000000,0.970270,0.973412,0.969736,0.966798
33,0.490319,0.490319,1.000000,0.209753,0.209753,0.000000,0.000000,0.972973,0.974675,0.971694,0.969496
34,0.490026,0.490026,1.000000,0.207565,0.207565,0.000000,0.000000,0.970270,0.973412,0.969222,0.965801
35,0.489742,0.489742,1.000000,0.208627,0.208627,0.000000,0.000000,0.970270,0.973412,0.969222,0.965801
36,0.489514,0.489514,1.000000,0.209503,0.209503,0.000000,0.000000,0.970270,0.973412,0.969222,0.965801
37,0.489365,0.489365,1.000000,0.208449,0.208449,0.000000,0.000000,0.970270,0.973412,0.969222,0.965801
38,0.489228,0.489228,1.000000,0.208527,0.208527,0.000000,0.000000,0.970270,0.973412,0.969222,0.965801
39,0.489121,0.489121,1.000000,0.208600,0.208600,0.000000,0.000000,0.970270,0.973412,0.969222,0.965801
40,0.489031,0.489031,1.000000,0.208981,0.208981,0.000000,0.000000,0.970270,0.973412,0.969222,0.965801
41,0.488947,0.488947,1.000000,0.209741,0.209741,0.000000,0.000000,0.970270,0.973412,0.969222,0.965801
42,0.488869,0.488869,1.000000,0.210143,0.210143,0.000000,0.000000,0.970270,0.973412,0.969222,0.965801
43,0.488809,0.488809,1.000000,0.209029,0.209029,0.000000,0.000000,0.970270,0.973412,0.969222,0.965801
44,0.488782,0.488782,1.000000,0.208796,0.208796,0.000000,0.000000,0.970270,0.973412,0.969222,0.965801
45,0.488757,0.488757,1.000000,0.209592,0.209592,0.000000,0.000000,0.970270,0.973412,0.969222,0.965801
46,0.488735,0.488735,1.000000,0.209234,0.209234,0.000000,0.000000,0.970270,0.973412,0.969222,0.965801
47,0.488719,0.488719,1.000000,0.209170,0.209170,0.000000,0.000000,0.970270,0.973412,0.969222,0.965801
48,0.488717,0.488717,1.000000,0.209488,0.209488,0.000000,0.000000,0.970270,0.973412,0.969222,0.965801
49,0.488714,0.488714,1.000000,0.209569,0.209569,0.000000,0.000000,0.970270,0.973412,0.969222,0.965801
