epoch,train_loss,train_mse,train_mae,val_loss,val_mse,val_mae
0,0.523886,0.523886,0.462984,0.276583,0.276583,0.378956
1,0.392818,0.392818,0.375509,0.241150,0.241150,0.349798
2,0.372886,0.372886,0.368447,0.311185,0.311185,0.397799
3,0.354375,0.354375,0.363819,0.314585,0.314585,0.399769
4,0.342798,0.342798,0.364053,0.284227,0.284227,0.380998
5,0.328790,0.328790,0.357577,0.265113,0.265113,0.367878
6,0.319139,0.319139,0.355871,0.274645,0.274645,0.373419
7,0.312643,0.312643,0.355371,0.275431,0.275431,0.374684
