epoch,train_loss,train_mse,train_mae,val_loss,val_mse,val_mae
0,0.539116,0.539116,0.530578,0.801165,0.801165,0.622981
1,0.377539,0.377539,0.437682,0.743196,0.743196,0.589626
2,0.357117,0.357117,0.425126,0.730764,0.730764,0.583676
3,0.349461,0.349461,0.420329,0.730252,0.730252,0.586103
4,0.343122,0.343122,0.416172,0.738162,0.738162,0.588547
5,0.338939,0.338939,0.413809,0.750699,0.750699,0.594703
6,0.334951,0.334951,0.412071,0.746348,0.746348,0.593614
7,0.330239,0.330239,0.408910,0.765456,0.765456,0.598132
8,0.325509,0.325509,0.405458,0.774755,0.774755,0.599202
9,0.324419,0.324419,0.405394,0.767638,0.767638,0.597917
