epoch,train_loss,train_ce,train_rec,train_distill,train_consol,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.554996,0.381453,0.542521,0.168118,0.000006,0.366922,0.236308,0.602656,0.124587,0.236300,0.329760
1,0.390497,0.266464,0.603391,0.117999,0.000007,0.325020,0.208899,0.584313,0.110278,0.208900,0.305335
2,0.362697,0.249721,0.574276,0.107234,0.000009,0.308313,0.200839,0.544720,0.102027,0.200855,0.296460
3,0.348603,0.241853,0.545106,0.101299,0.000009,0.298947,0.194960,0.521049,0.098776,0.194982,0.289775
4,0.342729,0.237592,0.527465,0.099863,0.000008,0.293793,0.190755,0.511682,0.097922,0.190783,0.285861
5,0.339812,0.235284,0.514611,0.099382,0.000007,0.291469,0.188724,0.494919,0.097796,0.188736,0.283514
6,0.338101,0.233628,0.506861,0.099404,0.000005,0.291557,0.187896,0.493556,0.098726,0.187938,0.282197
7,0.337761,0.232272,0.506070,0.100428,0.000004,0.291022,0.186486,0.493736,0.099598,0.186492,0.280754
8,0.338072,0.231260,0.506177,0.101750,0.000003,0.291521,0.185941,0.493873,0.100642,0.185942,0.279693
9,0.339136,0.230409,0.507804,0.103649,0.000002,0.292836,0.184536,0.498857,0.103311,0.184575,0.278526
10,0.341245,0.229777,0.514668,0.106321,0.000002,0.295964,0.184503,0.507117,0.106389,0.184474,0.278149
11,0.342898,0.229084,0.521329,0.108601,0.000002,0.297272,0.184697,0.509012,0.107484,0.184646,0.277992
12,0.343384,0.229016,0.522850,0.109139,0.000002,0.298054,0.184996,0.509934,0.107959,0.184965,0.278162
13,0.343969,0.228955,0.524616,0.109768,0.000002,0.297133,0.184454,0.511467,0.107564,0.184481,0.277923
14,0.344536,0.228892,0.526373,0.110380,0.000002,0.298593,0.184533,0.514090,0.108920,0.184487,0.277755
15,0.344784,0.228791,0.527506,0.110719,0.000002,0.298580,0.184423,0.513883,0.109018,0.184406,0.277722
16,0.344843,0.228800,0.527698,0.110766,0.000002,0.298804,0.184420,0.514468,0.109239,0.184458,0.277745
17,0.344914,0.228801,0.527963,0.110833,0.000002,0.298915,0.184449,0.515057,0.109315,0.184544,0.277801
18,0.344960,0.228778,0.528046,0.110901,0.000002,0.299022,0.184497,0.515338,0.109372,0.184494,0.277758
19,0.344978,0.228772,0.528239,0.110924,0.000002,0.298661,0.184499,0.514447,0.109017,0.184478,0.277767
