loss, overall_acc, average_acc, f1, precision, sensitivity, total_op, ACop, MACop, capacity, firing_rate, energy, acc0, acc1, acc2, acc3, acc4, acc5, acc6, acc7, acc8
0.235121, 0.975676, 0.975938, 0.974611, 0.973940, 0.975938, 9030.46 M Ops, 869.76 M Ops, 94.91 M Ops, 40.9860 M, 0.3484 %, 1219.39 uJ, 1.000000, 0.942857, 0.977273, 0.977273, 1.000000, 1.000000, 0.975000, 0.980000, 0.931035
loss, overall_acc, average_acc, f1, precision, sensitivity, total_op, ACop, MACop, capacity, firing_rate, energy, acc0, acc1, acc2, acc3, acc4, acc5, acc6, acc7, acc8
0.232743, 0.975676, 0.975938, 0.974611, 0.973940, 0.975938, 9030.46 M Ops, 859.63 M Ops, 94.91 M Ops, 40.9860 M, 0.3471 %, 1210.27 uJ, 1.000000, 0.942857, 0.977273, 0.977273, 1.000000, 1.000000, 0.975000, 0.980000, 0.931035
