epoch,train_loss,train_mse,train_mae,val_loss,val_mse,val_mae
0,0.538809,0.538809,0.464365,0.319084,0.319084,0.414097
1,0.415731,0.415731,0.393974,0.286782,0.286782,0.387190
2,0.399098,0.399098,0.386028,0.284883,0.284883,0.389825
3,0.381415,0.381415,0.378089,0.263341,0.263341,0.365113
4,0.372588,0.372588,0.376053,0.300390,0.300390,0.398821
5,0.362302,0.362302,0.375322,0.324959,0.324959,0.408872
6,0.352098,0.352098,0.375541,0.321822,0.321822,0.408847
7,0.337334,0.337334,0.369288,0.271388,0.271388,0.374952
8,0.332773,0.332773,0.366515,0.291898,0.291898,0.390718
9,0.329653,0.329653,0.366614,0.312017,0.312017,0.399123
