epoch,train_loss,train_ce,train_rec,train_distill,train_consol,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.649381,0.446841,0.752719,0.195012,0.000001,1.138601,0.973624,0.850925,0.156468,0.973627,0.651357
1,0.549278,0.407173,0.886109,0.133244,0.000001,1.081809,0.953129,0.870057,0.119980,0.953278,0.641873
2,0.517272,0.397135,0.884197,0.111295,0.000001,1.059084,0.944176,0.845927,0.106448,0.944382,0.638282
3,0.503745,0.390642,0.857522,0.104527,0.000001,1.050869,0.940072,0.815529,0.102641,0.940060,0.636977
4,0.496448,0.385548,0.832107,0.102579,0.000001,1.048534,0.939350,0.789980,0.101285,0.939352,0.636741
5,0.491200,0.380840,0.806899,0.102290,0.000001,1.045437,0.936110,0.764564,0.101682,0.936087,0.636246
6,0.487688,0.376636,0.785570,0.103197,0.000001,1.049685,0.938837,0.743706,0.103410,0.938939,0.637583
7,0.484970,0.372845,0.768862,0.104436,0.000001,1.053529,0.942158,0.731373,0.104058,0.942268,0.639132
8,0.482521,0.369265,0.757090,0.105685,0.000001,1.056160,0.943950,0.719651,0.105013,0.944068,0.639892
9,0.480451,0.366659,0.751174,0.106280,0.000000,1.056598,0.943915,0.718395,0.105499,0.943975,0.639880
10,0.480210,0.366247,0.750302,0.106460,0.000000,1.057335,0.944325,0.716508,0.105845,0.944388,0.640114
11,0.480037,0.365942,0.749587,0.106599,0.000000,1.057080,0.944790,0.716736,0.105122,0.944923,0.640224
12,0.479789,0.365568,0.748629,0.106734,0.000000,1.057838,0.945148,0.715418,0.105536,0.945178,0.640368
