heterogeneous,seed,comparison,delta_mse,delta_mae
False,7,dense-off,-0.00279827296032209,-0.002014607013931413
False,7,sparse-dense,-0.0047236222665940075,-0.001657239236373259
False,7,sparse-off,-0.007521895226916098,-0.0036718462503046723
False,13,dense-off,0.0023385747444538973,0.002297404806265363
False,13,sparse-dense,0.005665944424954356,0.0038548607536375012
False,13,sparse-off,0.008004519169408253,0.006152265559902864
False,21,dense-off,0.005593568985709313,0.0034265890705882374
False,21,sparse-dense,-0.004480419004038977,-0.0018541622347738318
False,21,sparse-off,0.001113149981670336,0.0015724268358144056
True,7,dense-off,-0.0016110895906075173,-0.0028204701356695505
True,7,sparse-dense,-0.005412569207531831,-0.000919025212964053
True,7,sparse-off,-0.007023658798139348,-0.0037394953486336036
True,13,dense-off,-0.00042694380168062374,-0.0017499453701646794
True,13,sparse-dense,0.004802787842566658,0.00519463121132413
True,13,sparse-off,0.004375844040886034,0.0034446858411594505
True,21,dense-off,0.0004300947726199045,0.0018664182185235412
True,21,sparse-dense,0.0015417817355732888,0.0024356683651099442
True,21,sparse-off,0.0019718765081931933,0.004302086583633485
