run_id,layer,variant,data,seed,support_density,empty_read_fraction,mean_real_mass,spike_rate,membrane_diversity
patchtst_ETTh1_p96_flatten_homogeneous_no_memory_seed7,embedding,homogeneous_no_memory,ETTh1,7,0.0,1.0,0.0,0.012622236274182796,0.0
patchtst_ETTh1_p96_flatten_homogeneous_no_memory_seed7,block0,homogeneous_no_memory,ETTh1,7,0.0,1.0,0.0,0.0530133917927742,0.0
patchtst_ETTh1_p96_flatten_homogeneous_no_memory_seed7,block1,homogeneous_no_memory,ETTh1,7,0.0,1.0,0.0,0.11029177159070969,0.0
patchtst_ETTh1_p96_flatten_homogeneous_dense_seed7,embedding,homogeneous_dense,ETTh1,7,1.0,0.0,0.9377591609954834,0.01686065085232258,0.0
patchtst_ETTh1_p96_flatten_homogeneous_dense_seed7,block0,homogeneous_dense,ETTh1,7,1.0,0.0,0.9462676048278809,0.06033428758382797,0.0
patchtst_ETTh1_p96_flatten_homogeneous_dense_seed7,block1,homogeneous_dense,ETTh1,7,1.0,0.0,0.9143174886703491,0.12194408476352692,0.0
patchtst_ETTh1_p96_flatten_homogeneous_sparse_seed7,embedding,homogeneous_sparse,ETTh1,7,0.4746758043766022,0.004736498463898897,0.9801608324050903,0.01618303544819355,0.0
patchtst_ETTh1_p96_flatten_homogeneous_sparse_seed7,block0,homogeneous_sparse,ETTh1,7,0.4393225312232971,0.0015652221627533436,0.991767942905426,0.05584343150258064,0.0
patchtst_ETTh1_p96_flatten_homogeneous_sparse_seed7,block1,homogeneous_sparse,ETTh1,7,0.3382798135280609,0.013719512149691582,0.9425857067108154,0.11050435900688171,0.0
patchtst_ETTh1_p96_flatten_heterogeneous_no_memory_seed7,embedding,heterogeneous_no_memory,ETTh1,7,0.0,1.0,0.0,0.012741815065965056,0.1094048023223877
patchtst_ETTh1_p96_flatten_heterogeneous_no_memory_seed7,block0,heterogeneous_no_memory,ETTh1,7,0.0,1.0,0.0,0.030416266294196248,0.12574580311775208
patchtst_ETTh1_p96_flatten_heterogeneous_no_memory_seed7,block1,heterogeneous_no_memory,ETTh1,7,0.0,1.0,0.0,0.0626029702834785,0.1611887365579605
patchtst_ETTh1_p96_flatten_heterogeneous_dense_seed7,embedding,heterogeneous_dense,ETTh1,7,1.0,0.0,0.9459541440010071,0.013396178197581321,0.11337583512067795
patchtst_ETTh1_p96_flatten_heterogeneous_dense_seed7,block0,heterogeneous_dense,ETTh1,7,1.0,0.0,0.9522122740745544,0.02981505007483065,0.12699556350708008
patchtst_ETTh1_p96_flatten_heterogeneous_dense_seed7,block1,heterogeneous_dense,ETTh1,7,1.0,0.0,0.9424473643302917,0.0608491450548172,0.16256840527057648
