data,heterogeneous,seed,comparison,delta_mse,delta_mae
ETTh1,False,7,dense-off,-0.004589746838034481,-0.006314995361384912
ETTh1,False,7,sparse-off,0.00393214042859652,0.00271241328275007
ETTh1,False,7,sparse-dense,0.008521887266631,0.009027408644134982
ETTh1,False,13,dense-off,-0.0026246291738092897,-0.0013745885427903781
ETTh1,False,13,sparse-off,0.0029862662255694117,0.0026050329899295344
ETTh1,False,13,sparse-dense,0.005610895399378701,0.0039796215327199125
ETTh1,False,21,dense-off,0.0018934738834422427,-0.000507885845118683
ETTh1,False,21,sparse-off,-0.00048800985245850415,0.0003977498723661821
ETTh1,False,21,sparse-dense,-0.002381483735900747,0.000905635717484865
ETTh1,True,7,dense-off,0.00529752272595263,0.0029591937888234776
ETTh1,True,7,sparse-off,-0.0002830178061987709,0.004656704092016184
ETTh1,True,7,sparse-dense,-0.005580540532151401,0.0016975103031927063
ETTh1,True,13,dense-off,-0.0003141156504412601,-0.001060482826023501
ETTh1,True,13,sparse-off,0.00016228928413453136,0.0004846455991498466
ETTh1,True,13,sparse-dense,0.00047640493457579147,0.0015451284251733477
ETTh1,True,21,dense-off,0.0031440053667523005,0.002435828324463374
ETTh1,True,21,sparse-off,0.0030297809984214386,0.0027107273201072424
ETTh1,True,21,sparse-dense,-0.00011422436833086191,0.00027489899564386855
ETTh2,False,7,dense-off,-0.0010067990826096995,0.0022857813335220856
ETTh2,False,7,sparse-off,-0.018975930882428715,-0.010056105783359415
ETTh2,False,7,sparse-dense,-0.017969131799819016,-0.0123418871168815
ETTh2,False,13,dense-off,0.007301778662717084,0.005969398155321104
ETTh2,False,13,sparse-off,0.013022772113247094,0.009699498129876194
ETTh2,False,13,sparse-dense,0.00572099345053001,0.00373009997455509
ETTh2,False,21,dense-off,0.009293664087976383,0.007361063986295158
ETTh2,False,21,sparse-off,0.0027143098157991763,0.002747103799262629
ETTh2,False,21,sparse-dense,-0.006579354272177207,-0.004613960187032529
ETTh2,True,7,dense-off,-0.008519701907167665,-0.008600134060162579
ETTh2,True,7,sparse-off,-0.013764299790079926,-0.012135694789283391
ETTh2,True,7,sparse-dense,-0.005244597882912261,-0.0035355607291208124
ETTh2,True,13,dense-off,-0.0005397719529199874,-0.002439407914305858
ETTh2,True,13,sparse-off,0.008589398797637537,0.0064047260831690545
ETTh2,True,13,sparse-dense,0.009129170750557525,0.008844133997474912
ETTh2,True,21,dense-off,-0.0022838158215124915,0.0012970081125837085
ETTh2,True,21,sparse-off,0.000913972017964948,0.005893445847159728
ETTh2,True,21,sparse-dense,0.0031977878394774395,0.00459643773457602
