data,variant,mse,mse_sd,mae,mae_sd
ETTh1,heterogeneous_dense,0.4264798201591511,0.005509111297730845,0.44229456550662033,0.002136343680222433
ETTh1,heterogeneous_no_memory,0.4237706826783965,0.005496526783264262,0.4408497190775325,0.0039042319258347983
ETTh1,heterogeneous_sparse,0.42474036683718225,0.0037785499483938096,0.4434670780812903,0.0028766553709972846
ETTh1,homogeneous_dense,0.4359832561671777,0.011280472128202964,0.4485405619240477,0.007449421904576734
ETTh1,homogeneous_no_memory,0.4377568902099782,0.010707470544729697,0.451273051840479,0.005195056926286622
ETTh1,homogeneous_sparse,0.43990035581054737,0.01112367793037431,0.45317811722216095,0.005668110714043193
ETTh2,heterogeneous_dense,0.3251407861717767,0.005557283173691009,0.3853394800643499,0.0031586384703696695
ETTh2,heterogeneous_no_memory,0.3289218827323101,0.004801761455576024,0.3885869913516449,0.006534439671341499
ETTh2,heterogeneous_sparse,0.3275015730741509,0.01183707264147785,0.38864115039866,0.0082394675894971
ETTh2,homogeneous_dense,0.3410674230011341,0.008555879365139307,0.4009968775346762,0.006422860242430673
ETTh2,homogeneous_no_memory,0.33587120844510615,0.011878814410071976,0.3957914630429635,0.007948941188957524
ETTh2,homogeneous_sparse,0.33479159212731197,0.005353986177734492,0.39658829509155663,0.0026486662816405143
