epoch,train_loss,train_score,train_distill,val_loss,val_score,val_distill
0,0.273689,0.221302,0.052386,0.117349,tensor(0.0009),0.050320
1,0.148247,0.095796,0.052451,0.098201,tensor(0.0008),0.048594
2,0.143002,0.090817,0.052185,0.092762,tensor(0.0003),0.048331
3,0.141917,0.089746,0.052170,0.093157,tensor(0.0004),0.051105
4,0.141422,0.087170,0.054252,0.098175,tensor(0.0003),0.057827
5,0.142486,0.086345,0.056141,0.095310,tensor(0.0003),0.056134
6,0.142606,0.083704,0.058902,0.100047,tensor(0.0004),0.061925
7,0.146441,0.083906,0.062535,0.098254,tensor(0.0003),0.061716
8,0.151714,0.085372,0.066342,0.102978,tensor(0.0003),0.066318
9,0.148089,0.080702,0.067387,0.103341,tensor(0.0003),0.069107
10,0.150206,0.082408,0.067797,0.097508,tensor(0.0004),0.063257
11,0.153432,0.085579,0.067852,0.098422,tensor(0.0004),0.064258
12,0.146659,0.078461,0.068198,0.099365,tensor(0.0004),0.065435
13,0.150536,0.081968,0.068567,0.099424,tensor(0.0003),0.065561
14,0.149820,0.080886,0.068934,0.097994,tensor(0.0003),0.064173
15,0.149776,0.080671,0.069105,0.095660,tensor(0.0003),0.061833
16,0.146980,0.077596,0.069384,0.100780,tensor(0.0003),0.067207
17,0.147976,0.078553,0.069423,0.099836,tensor(0.0002),0.066078
18,0.150314,0.081222,0.069092,0.098308,tensor(0.0004),0.064678
19,0.150175,0.081336,0.068839,0.096040,tensor(0.0003),0.062300
