epoch,train_loss,train_mse,train_mae,val_loss,val_mse,val_mae
0,0.533805,0.533805,0.524680,0.864661,0.864661,0.650097
1,0.404796,0.404796,0.455663,0.804368,0.804368,0.621881
2,0.380962,0.380962,0.441119,0.771712,0.771712,0.608762
3,0.369804,0.369804,0.434050,0.768738,0.768738,0.604805
4,0.363841,0.363841,0.431326,0.770759,0.770759,0.606824
5,0.357512,0.357512,0.428267,0.775626,0.775626,0.611334
6,0.353472,0.353472,0.426187,0.785512,0.785512,0.615356
7,0.348127,0.348127,0.422789,0.795778,0.795778,0.618908
8,0.345860,0.345860,0.421235,0.785333,0.785333,0.612611
9,0.344829,0.344829,0.421084,0.788557,0.788557,0.612539
