epoch,train_loss,train_mse,train_mae,val_loss,val_mse,val_mae
0,0.521276,0.521276,0.454310,0.276729,0.276729,0.384011
1,0.403660,0.403660,0.382903,0.262329,0.262329,0.364755
2,0.380982,0.380982,0.370953,0.264353,0.264353,0.368074
3,0.363554,0.363554,0.364972,0.270938,0.270938,0.369251
4,0.348021,0.348021,0.361030,0.258395,0.258395,0.365305
5,0.334033,0.334033,0.359714,0.296170,0.296170,0.385472
6,0.317673,0.317673,0.356595,0.277047,0.277047,0.374901
7,0.305199,0.305199,0.352504,0.258914,0.258914,0.366276
8,0.295602,0.295602,0.349379,0.283657,0.283657,0.380687
9,0.290546,0.290546,0.348207,0.292066,0.292066,0.387532
10,0.285454,0.285454,0.346924,0.272547,0.272547,0.371810
