epoch,train_loss,train_score,train_rec,train_distill,val_loss,val_score,val_rec,val_distill
0,0.203006,0.201835,0.011709,0.034926,0.060817,0.060063,0.007536,0.036815
1,0.092811,0.092015,0.007963,0.040814,0.040538,0.039861,0.006773,0.038231
2,0.086557,0.085826,0.007318,0.040994,0.036689,0.036051,0.006379,0.038577
3,0.084169,0.083474,0.006944,0.042157,0.032594,0.031973,0.006213,0.040002
4,0.079936,0.079255,0.006808,0.043875,0.031267,0.030686,0.005808,0.040808
5,0.080475,0.079821,0.006543,0.045118,0.031151,0.030603,0.005472,0.043022
6,0.077978,0.077342,0.006360,0.046797,0.029546,0.029004,0.005418,0.044192
7,0.076791,0.076168,0.006236,0.047635,0.030033,0.029488,0.005455,0.044958
8,0.077683,0.077065,0.006180,0.048891,0.028564,0.028033,0.005311,0.046470
9,0.079431,0.078826,0.006053,0.050303,0.028167,0.027647,0.005197,0.047867
10,0.082214,0.081618,0.005958,0.051691,0.028088,0.027570,0.005173,0.049562
11,0.078103,0.077499,0.006040,0.054107,0.027961,0.027424,0.005362,0.051806
12,0.077836,0.077236,0.005993,0.059292,0.027508,0.027022,0.004858,0.053516
13,0.077421,0.076843,0.005778,0.060773,0.027933,0.027457,0.004756,0.054258
14,0.077469,0.076899,0.005698,0.061484,0.027393,0.026893,0.004998,0.055480
15,0.079477,0.078911,0.005659,0.062208,0.027284,0.026812,0.004722,0.056014
16,0.075894,0.075335,0.005593,0.062852,0.027392,0.026918,0.004739,0.056734
17,0.076341,0.075788,0.005530,0.063749,0.026580,0.026111,0.004690,0.059017
18,0.073770,0.073217,0.005530,0.065519,0.026513,0.026048,0.004651,0.059882
19,0.076979,0.076425,0.005544,0.066600,0.026372,0.025907,0.004650,0.060998
20,0.074936,0.074376,0.005605,0.067618,0.027052,0.026573,0.004785,0.061400
21,0.076972,0.076419,0.005538,0.068202,0.026490,0.026025,0.004646,0.062714
22,0.076739,0.076183,0.005565,0.069061,0.027078,0.026611,0.004669,0.063121
