loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.466013, 0.444659, 0.457388, 0.592497, 174.87 M Ops, 29.56 M Ops, 6.92 M Ops, 0.4785 M, 0.4153 %, 58.41 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.464031, 0.442867, 0.456749, 0.594139, 174.87 M Ops, 29.76 M Ops, 6.92 M Ops, 0.4785 M, 0.4141 %, 58.60 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.694325, 0.689421, 0.589780, 0.368188, 174.87 M Ops, 4.85 M Ops, 6.92 M Ops, 0.4785 M, 0.4083 %, 36.18 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.463937, 0.449006, 0.457122, 0.588513, 174.87 M Ops, 26.19 M Ops, 6.92 M Ops, 0.4785 M, 0.4155 %, 55.38 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.463872, 0.442745, 0.456625, 0.594251, 174.71 M Ops, 29.89 M Ops, 6.91 M Ops, 0.4785 M, 0.3899 %, 58.67 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.463823, 0.442645, 0.456603, 0.594342, 174.87 M Ops, 29.80 M Ops, 6.92 M Ops, 0.4785 M, 0.4161 %, 58.64 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.461728, 0.440220, 0.455350, 0.596565, 174.87 M Ops, 29.29 M Ops, 6.92 M Ops, 0.4785 M, 0.4139 %, 58.17 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.461728, 0.440220, 0.455350, 0.596565, 174.87 M Ops, 29.29 M Ops, 6.92 M Ops, 0.4785 M, 0.4139 %, 58.17 uJ
