loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.464430, 0.446090, 0.456478, 0.591185, 171.49 M Ops, 29.33 M Ops, 6.51 M Ops, 0.4765 M, 0.3909 %, 56.35 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.464430, 0.446090, 0.456478, 0.591185, 171.49 M Ops, 29.33 M Ops, 6.51 M Ops, 0.4765 M, 0.3909 %, 56.35 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.458832, 0.441798, 0.456683, 0.595119, 171.49 M Ops, 28.83 M Ops, 6.51 M Ops, 0.4765 M, 0.3925 %, 55.90 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.464232, 0.445844, 0.456518, 0.591411, 171.49 M Ops, 29.64 M Ops, 6.51 M Ops, 0.4765 M, 0.3927 %, 56.63 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.465970, 0.446850, 0.455889, 0.590489, 171.49 M Ops, 29.31 M Ops, 6.51 M Ops, 0.4765 M, 0.3906 %, 56.33 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.464796, 0.446294, 0.456534, 0.590998, 163.97 M Ops, 28.95 M Ops, 5.74 M Ops, 0.4765 M, 0.2882 %, 52.46 uJ
