loss,mse,mae,total_op,ACop,MACop,capacity,firing_rate,energy,mse_long,mae_long,R2
0.433566,0.409927,0.429323,28.08 M Ops,4.42 M Ops,1.36 M Ops,0.2702 M,0.2454 %,10.21 uJ,0.556787,0.518901,0.738110
loss,mse,mae,total_op,ACop,MACop,capacity,firing_rate,energy,mse_long,mae_long,R2
0.434077,0.410693,0.429654,28.08 M Ops,4.30 M Ops,3.09 M Ops,0.2702 M,0.2650 %,18.08 uJ,0.555554,0.518817,0.737621
loss,mse,mae,total_op,ACop,MACop,capacity,firing_rate,energy,mse_long,mae_long,R2
0.434471,0.411803,0.430369,28.08 M Ops,4.56 M Ops,1.36 M Ops,0.2702 M,0.2434 %,10.34 uJ,0.557423,0.519270,0.736912
loss,mse,mae,total_op,ACop,MACop,capacity,firing_rate,energy,mse_long,mae_long,R2
0.434471,0.411803,0.430369,27.57 M Ops,4.54 M Ops,0.87 M Ops,0.2702 M,0.2041 %,8.07 uJ,0.557423,0.519270,0.736912
loss,mse,mae,total_op,ACop,MACop,capacity,firing_rate,energy,mse_long,mae_long,R2
0.435442,0.413656,0.431427,27.57 M Ops,4.56 M Ops,0.87 M Ops,0.2702 M,0.2038 %,8.09 uJ,0.559657,0.520553,0.735728
loss,mse,mae,total_op,ACop,MACop,capacity,firing_rate,energy,mse_long,mae_long,R2
0.433104,0.408828,0.428848,28.08 M Ops,4.42 M Ops,1.19 M Ops,0.2702 M,0.1959 %,9.46 uJ,0.556120,0.519502,0.738813
loss,mse,mae,total_op,ACop,MACop,capacity,firing_rate,energy,mse_long,mae_long,R2
0.433011,0.408670,0.428655,28.08 M Ops,4.51 M Ops,1.36 M Ops,0.2702 M,0.2455 %,10.30 uJ,0.555452,0.519098,0.738914
loss,mse,mae,total_op,ACop,MACop,capacity,firing_rate,energy,mse_long,mae_long,R2
0.434293,0.411117,0.429924,28.08 M Ops,4.52 M Ops,1.36 M Ops,0.2702 M,0.2460 %,10.30 uJ,0.558270,0.519991,0.737350
loss,mse,mae,total_op,ACop,MACop,capacity,firing_rate,energy,mse_long,mae_long,R2
0.434293,0.411117,0.429924,28.08 M Ops,4.52 M Ops,1.36 M Ops,0.2702 M,0.2460 %,10.30 uJ,0.558270,0.519991,0.737350
loss,mse,mae,total_op,ACop,MACop,capacity,firing_rate,energy,mse_long,mae_long,R2
0.434744,0.412182,0.430406,27.57 M Ops,4.37 M Ops,0.87 M Ops,0.2702 M,0.2003 %,7.93 uJ,0.558477,0.519975,0.736670
loss,mse,mae,total_op,ACop,MACop,capacity,firing_rate,energy,mse_long,mae_long,R2
0.433987,0.411335,0.429807,28.08 M Ops,4.48 M Ops,1.36 M Ops,0.2702 M,0.2462 %,10.27 uJ,0.557379,0.519275,0.737211
loss,mse,mae,total_op,ACop,MACop,capacity,firing_rate,energy,mse_long,mae_long,R2
0.433882,0.411514,0.429695,28.08 M Ops,4.46 M Ops,1.36 M Ops,0.2702 M,0.2466 %,10.25 uJ,0.557513,0.519146,0.737097
