epoch,train_loss,train_mse,train_mae,val_loss,val_mse,val_mae
0,0.647258,0.647258,0.584430,1.312181,1.312181,0.812802
1,0.545426,0.545426,0.532451,1.271820,1.271820,0.796646
2,0.526954,0.526954,0.522963,1.230064,1.230064,0.777371
3,0.518873,0.518873,0.520226,1.229860,1.229860,0.779442
4,0.511705,0.511705,0.516609,1.234810,1.234810,0.781199
5,0.507157,0.507157,0.515339,1.247054,1.247054,0.790297
6,0.502747,0.502747,0.513612,1.245625,1.245625,0.787229
7,0.496670,0.496670,0.510898,1.253262,1.253262,0.789301
8,0.493632,0.493632,0.509602,1.258012,1.258012,0.793715
9,0.492312,0.492312,0.509216,1.267783,1.267783,0.796565
