loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.384525, 0.383903, 0.404756, 62.89 M Ops, 8.65 M Ops, 5.26 M Ops, 0.1449 M, 0.4061 %, 32.01 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.387525, 0.386386, 0.405653, 62.89 M Ops, 8.59 M Ops, 5.26 M Ops, 0.1418 M, 0.4191 %, 31.95 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.384525, 0.383903, 0.404756, 62.89 M Ops, 8.65 M Ops, 5.26 M Ops, 0.1418 M, 0.4196 %, 32.01 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.384525, 0.383903, 0.404756, 62.89 M Ops, 8.65 M Ops, 5.26 M Ops, 0.1418 M, 0.4196 %, 32.01 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.385668, 0.384998, 0.404565, 62.11 M Ops, 8.49 M Ops, 5.24 M Ops, 0.1334 M, 0.4300 %, 31.76 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.389196, 0.388751, 0.407285, 62.89 M Ops, 8.78 M Ops, 5.26 M Ops, 0.1418 M, 0.4223 %, 32.12 uJ
