loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.405393, 0.398937, 0.392534, 0.742253, 172.65 M Ops, 20.78 M Ops, 5.69 M Ops, 0.5582 M, 0.3791 %, 44.87 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.407377, 0.401184, 0.393603, 0.740801, 176.80 M Ops, 19.76 M Ops, 5.92 M Ops, 0.5582 M, 0.4263 %, 45.04 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.415604, 0.408987, 0.398325, 0.735760, 172.65 M Ops, 14.16 M Ops, 5.69 M Ops, 0.5562 M, 0.3600 %, 38.91 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.406958, 0.400778, 0.393206, 0.741064, 172.65 M Ops, 17.92 M Ops, 5.69 M Ops, 0.5562 M, 0.3624 %, 42.29 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.406340, 0.399575, 0.392926, 0.741841, 172.65 M Ops, 18.95 M Ops, 5.69 M Ops, 0.5582 M, 0.3636 %, 43.22 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.408624, 0.401523, 0.394013, 0.740582, 172.77 M Ops, 17.32 M Ops, 5.69 M Ops, 0.5582 M, 0.3608 %, 41.75 uJ
