epoch,train_loss,train_ce,train_rec,val_loss,val_ce,val_rec,val_distill,val_mse,val_mae
0,0.280630,0.280630,1.000000,0.245708,0.245708,0.000000,0.000000,0.128575,0.245633
1,0.266054,0.266054,1.000000,0.241744,0.241744,0.000000,0.000000,0.126742,0.241766
2,0.261271,0.261271,1.000000,0.240360,0.240360,0.000000,0.000000,0.125441,0.240270
3,0.258684,0.258684,1.000000,0.239573,0.239573,0.000000,0.000000,0.124675,0.239554
4,0.256984,0.256984,1.000000,0.239892,0.239892,0.000000,0.000000,0.124716,0.239840
5,0.255590,0.255590,1.000000,0.239068,0.239068,0.000000,0.000000,0.124417,0.239096
6,0.254498,0.254498,1.000000,0.238879,0.238879,0.000000,0.000000,0.124503,0.239093
7,0.253879,0.253879,1.000000,0.240213,0.240213,0.000000,0.000000,0.125961,0.240376
8,0.252962,0.252962,1.000000,0.239833,0.239833,0.000000,0.000000,0.125643,0.239904
