loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.311231, 0.311189, 0.360055, 154.11 M Ops, 21.06 M Ops, 12.80 M Ops, 0.1651 M, 0.2741 %, 77.85 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.301781, 0.301614, 0.352630, 181.49 M Ops, 24.11 M Ops, 14.35 M Ops, 0.1673 M, 0.3211 %, 87.69 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.301786, 0.301621, 0.352573, 181.49 M Ops, 24.11 M Ops, 14.35 M Ops, 0.1673 M, 0.3211 %, 87.68 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.307890, 0.307479, 0.355217, 181.49 M Ops, 24.02 M Ops, 14.31 M Ops, 0.1673 M, 0.3197 %, 87.45 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.306331, 0.305455, 0.353849, 181.86 M Ops, 24.83 M Ops, 14.35 M Ops, 0.1673 M, 0.3291 %, 88.34 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.302657, 0.302030, 0.353011, 187.99 M Ops, 25.42 M Ops, 15.06 M Ops, 0.1673 M, 0.4184 %, 92.17 uJ
