epoch,train_loss,train_score,train_rec,train_distill,val_loss,val_score,val_rec,val_distill
0,0.494667,0.477103,0.102059,0.016543,0.694467,tensor(0.0053),0.103455,0.020629
0,0.494616,0.477033,0.102066,0.016563,0.694458,tensor(0.0053),0.103503,0.020986
1,0.358897,0.338557,0.100745,0.019332,0.496242,tensor(0.0054),0.101464,0.022347
2,0.278901,0.257479,0.099503,0.020428,0.369059,tensor(0.0034),0.099911,0.018588
3,0.233875,0.207143,0.099248,0.025739,0.302346,tensor(0.0030),0.100302,0.028211
4,0.205233,0.172745,0.099330,0.031495,0.251123,tensor(0.0017),0.099959,0.026565
5,0.185455,0.149641,0.099302,0.034820,0.222035,tensor(0.0014),0.100171,0.030331
6,0.172164,0.134450,0.099296,0.036720,0.205331,tensor(0.0022),0.100465,0.035180
7,0.161968,0.123110,0.099311,0.037866,0.187752,tensor(0.0022),0.100543,0.036317
8,0.152139,0.112945,0.099334,0.038201,0.175201,tensor(0.0017),0.100530,0.037823
9,0.148575,0.108860,0.099473,0.038720,0.165165,tensor(0.0016),0.100743,0.037420
10,0.145317,0.104899,0.099538,0.039422,0.157552,tensor(0.0016),0.100747,0.035817
11,0.140949,0.100069,0.099588,0.039885,0.153647,tensor(0.0018),0.100766,0.041281
12,0.136533,0.094498,0.099579,0.041039,0.146507,tensor(0.0008),0.100968,0.039160
13,0.138977,0.095083,0.099623,0.042897,0.138714,tensor(0.0010),0.100979,0.037081
14,0.140889,0.095293,0.099643,0.044599,0.137798,tensor(0.0009),0.100868,0.038499
15,0.140852,0.094228,0.099739,0.045627,0.140279,tensor(0.0007),0.100837,0.044577
16,0.138835,0.091800,0.099769,0.046038,0.138681,tensor(0.0010),0.100982,0.045497
17,0.139375,0.091853,0.099762,0.046524,0.137159,tensor(0.0008),0.101180,0.044510
18,0.137686,0.090213,0.099725,0.046476,0.135833,tensor(0.0007),0.101075,0.045990
19,0.136695,0.089382,0.099707,0.046317,0.136962,tensor(0.0007),0.100856,0.047429
