epoch,train_loss,train_mse,train_mae,val_loss,val_mse,val_mae
0,0.549267,0.549267,0.535369,0.803634,0.803634,0.621084
1,0.382179,0.382179,0.441111,0.729742,0.729742,0.588359
2,0.357656,0.357656,0.425530,0.712070,0.712070,0.583092
3,0.347733,0.347733,0.419142,0.709440,0.709440,0.578401
4,0.344473,0.344473,0.418054,0.716121,0.716121,0.580446
5,0.336629,0.336629,0.412404,0.711255,0.711255,0.577458
6,0.333021,0.333021,0.411183,0.716366,0.716366,0.580910
7,0.328663,0.328663,0.408145,0.712046,0.712046,0.581557
8,0.324268,0.324268,0.405506,0.716471,0.716471,0.582965
9,0.322677,0.322677,0.405225,0.721945,0.721945,0.583916
