loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.471882, 0.461770, 0.429029, 0.582009, 121.02 M Ops, 18.40 M Ops, 3.18 M Ops, 0.5477 M, 0.4722 %, 31.20 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.472786, 0.459801, 0.429100, 0.583791, 123.71 M Ops, 17.70 M Ops, 3.23 M Ops, 0.5644 M, 0.4545 %, 30.77 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.478327, 0.464196, 0.430320, 0.579813, 123.71 M Ops, 17.47 M Ops, 3.23 M Ops, 0.5644 M, 0.4426 %, 30.56 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.478735, 0.463732, 0.429526, 0.580232, 122.07 M Ops, 14.90 M Ops, 3.23 M Ops, 0.5477 M, 0.5329 %, 28.24 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.482128, 0.468655, 0.432727, 0.575778, 122.47 M Ops, 14.31 M Ops, 3.29 M Ops, 0.5477 M, 0.6181 %, 28.00 uJ
loss, mse, mae, R2, total_op, ACop, MACop, capacity, firing_rate, energy
0.472631, 0.460672, 0.428318, 0.583003, 121.02 M Ops, 16.78 M Ops, 3.18 M Ops, 0.5477 M, 0.4591 %, 29.75 uJ
