epoch,train_loss,train_mse,train_mae,train_max_abs_state,train_firing_rate,train_eta,train_kappa,train_would_cap_rate,train_support_p,train_score_std,train_grad_WQ_norm,train_grad_WK_norm,train_grad_eta_hat_norm,train_grad_WQ_absmax,train_grad_WK_absmax,train_grad_absmax_all,train_singleton_frac,val_loss,val_mse,val_mae
0,0.289651,0.289651,0.433029,41.363167,0.303377,1.000000,0.553639,0.116864,0.347991,4.577510,0.000000,0.000000,0.000000,0.000000,0.000000,0.367968,0.024390,0.155623,0.155623,0.318461
1,0.102594,0.102594,0.248390,43.734226,0.285281,1.000000,0.552748,0.116272,0.348111,4.345599,0.000000,0.000000,0.000000,0.000000,0.000000,0.156770,0.024390,0.084020,0.084020,0.219258
2,0.074021,0.074021,0.203108,38.486492,0.281363,1.000000,0.562618,0.117655,0.354687,4.573595,0.000000,0.000000,0.000000,0.000000,0.000000,0.065303,0.024390,0.071591,0.071591,0.199200
3,0.066224,0.066224,0.189753,38.962284,0.280102,1.000000,0.556651,0.116616,0.350633,4.407772,0.000000,0.000000,0.000000,0.000000,0.000000,0.061918,0.024390,0.064613,0.064613,0.186542
4,0.062033,0.062033,0.181597,45.093735,0.284784,1.000000,0.558218,0.117469,0.351355,4.383790,0.000000,0.000000,0.000000,0.000000,0.000000,0.051643,0.024390,0.061867,0.061867,0.181138
5,0.060282,0.060282,0.178646,37.390846,0.287074,1.000000,0.557085,0.116900,0.350894,4.337471,0.000000,0.000000,0.000000,0.000000,0.000000,0.059311,0.024390,0.060690,0.060690,0.178745
6,0.059043,0.059043,0.176894,43.448643,0.287760,1.000000,0.562403,0.116923,0.355040,4.443214,0.000000,0.000000,0.000000,0.000000,0.000000,0.070043,0.024390,0.060128,0.060128,0.178771
7,0.057808,0.057808,0.174761,38.747707,0.292536,1.000000,0.565233,0.117691,0.356772,4.350047,0.000000,0.000000,0.000000,0.000000,0.000000,0.055788,0.024390,0.059607,0.059607,0.178670
8,0.057093,0.057093,0.174112,39.102104,0.291196,1.000000,0.559280,0.117688,0.351635,4.230173,0.000000,0.000000,0.000000,0.000000,0.000000,0.060444,0.024390,0.057900,0.057900,0.175730
9,0.056142,0.056142,0.172933,37.214005,0.293512,1.000000,0.559577,0.117561,0.352469,4.282395,0.000000,0.000000,0.000000,0.000000,0.000000,0.084452,0.024390,0.057330,0.057330,0.175179
10,0.055678,0.055678,0.172399,38.007324,0.294256,1.000000,0.560749,0.117206,0.353496,4.146339,0.000000,0.000000,0.000000,0.000000,0.000000,0.057697,0.024390,0.056964,0.056964,0.174024
11,0.055143,0.055143,0.171461,42.349785,0.294224,1.000000,0.555196,0.116670,0.349692,4.120527,0.000000,0.000000,0.000000,0.000000,0.000000,0.049661,0.024390,0.056679,0.056679,0.174989
