head,data,heterogeneous,seed,delta_mse,delta_mae,relative_mse_pct
flatten,ETTh1,False,7,0.009370218082478066,0.0048232053184716905,1.6702262501954168
flatten,ETTh1,False,13,-0.03544870410329182,-0.011441625906987718,-6.083721488353378
flatten,ETTh1,False,21,-0.02027288606016875,-0.014278013807932921,-3.499554317168696
flatten,ETTh1,True,7,0.0259742464464654,0.014220380926983855,4.818416347998178
flatten,ETTh1,True,13,-0.025017032497110847,-0.015180472715289328,-4.301162514062506
flatten,ETTh1,True,21,0.003053910060557552,-0.00030731842619835525,0.5209107815954184
flatten,ETTh2,False,7,0.010487987917481179,0.0005422433256384585,1.0631126906078592
flatten,ETTh2,False,13,0.04183218996108273,0.003532452558063337,3.7115677297579586
flatten,ETTh2,False,21,0.13830262753196965,0.037863357597921365,15.609543150473183
flatten,ETTh2,True,7,0.14872589621716137,0.053196203620913485,15.602596037425421
flatten,ETTh2,True,13,-0.0801437626084548,-0.02726509145638123,-7.47305282593258
flatten,ETTh2,True,21,-0.014315078363143607,-0.006921959453473181,-1.3408054114333878
