epoch,train_loss,train_mse,train_mae,val_loss,val_mse,val_mae
0,0.864902,0.864902,0.691965,1.550897,1.550897,0.893563
1,0.742133,0.742133,0.632569,1.543402,1.543402,0.888786
2,0.722839,0.722839,0.622723,1.545215,1.545215,0.890808
3,0.714007,0.714007,0.617972,1.548042,1.548042,0.893149
4,0.709592,0.709592,0.615499,1.540168,1.540168,0.889430
5,0.705643,0.705643,0.613518,1.537771,1.537771,0.889475
6,0.703627,0.703627,0.612413,1.535714,1.535714,0.888652
7,0.701778,0.701778,0.611165,1.527884,1.527884,0.886093
8,0.699245,0.699245,0.609867,1.529681,1.529681,0.887373
9,0.698269,0.698269,0.609273,1.532336,1.532336,0.888327
