loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.364314, 0.354167, 0.386129, 68.16 M Ops, 10.16 M Ops, 6.14 M Ops, 0.1293 M, 0.4298 %, 37.39 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.364541, 0.354449, 0.386648, 72.10 M Ops, 10.40 M Ops, 6.91 M Ops, 0.1300 M, 0.4360 %, 41.15 uJ
