epoch,train_loss,train_score,val_loss,val_score,val_rec,val_distill
0,0.168491,0.168491,0.054089,0.054089,0.000000,0.000000
1,0.041792,0.041792,0.035257,0.035257,0.000000,0.000000
2,0.031818,0.031818,0.030902,0.030902,0.000000,0.000000
3,0.028981,0.028981,0.028916,0.028916,0.000000,0.000000
4,0.027568,0.027568,0.027002,0.027002,0.000000,0.000000
5,0.026428,0.026428,0.025851,0.025851,0.000000,0.000000
6,0.025756,0.025756,0.024756,0.024756,0.000000,0.000000
7,0.025135,0.025135,0.024591,0.024591,0.000000,0.000000
8,0.024752,0.024752,0.023744,0.023744,0.000000,0.000000
9,0.024289,0.024289,0.023151,0.023151,0.000000,0.000000
10,0.024028,0.024028,0.023117,0.023117,0.000000,0.000000
11,0.023930,0.023930,0.023021,0.023021,0.000000,0.000000
12,0.023680,0.023680,0.022713,0.022713,0.000000,0.000000
13,0.023624,0.023624,0.022669,0.022669,0.000000,0.000000
14,0.023355,0.023355,0.022616,0.022616,0.000000,0.000000
15,0.023293,0.023293,0.022101,0.022101,0.000000,0.000000
16,0.023284,0.023284,0.022765,0.022765,0.000000,0.000000
17,0.023166,0.023166,0.022291,0.022291,0.000000,0.000000
18,0.023026,0.023026,0.021635,0.021635,0.000000,0.000000
19,0.022954,0.022954,0.021508,0.021508,0.000000,0.000000
20,0.022994,0.022994,0.021803,0.021803,0.000000,0.000000
21,0.022943,0.022943,0.021559,0.021559,0.000000,0.000000
22,0.022876,0.022876,0.021857,0.021857,0.000000,0.000000
