loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.378780, 0.373840, 0.403051, 108.98 M Ops, 16.91 M Ops, 7.08 M Ops, 0.2271 M, 0.4107 %, 47.77 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.378661, 0.373713, 0.403530, 108.79 M Ops, 17.03 M Ops, 6.89 M Ops, 0.2271 M, 0.3876 %, 47.01 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.376777, 0.371716, 0.402685, 108.82 M Ops, 16.82 M Ops, 6.91 M Ops, 0.2255 M, 0.4068 %, 46.93 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.399337, 0.394336, 0.418438, 95.27 M Ops, 4.69 M Ops, 69.40 M Ops, 0.2238 M, 0.4533 %, 323.46 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.390859, 0.385712, 0.413263, 95.27 M Ops, 8.39 M Ops, 6.14 M Ops, 0.2238 M, 0.4280 %, 35.80 uJ
loss, mse, mae, total_op, ACop, MACop, capacity, firing_rate, energy
0.375798, 0.370840, 0.402805, 95.27 M Ops, 13.73 M Ops, 6.14 M Ops, 0.2238 M, 0.4301 %, 40.60 uJ
