epoch, train_loss, train_mse, val_loss, val_mse, val_tot_acc, val_acc, val_f1, val_pre, val_acc_0, val_acc_1, val_acc_2, val_acc_3, val_acc_4, val_acc_5, val_acc_6, val_acc_7, val_acc_8, val_acc_9, val_acc_10, val_acc_11, val_acc_12, val_acc_13, val_acc_14, val_acc_15, val_acc_16, val_acc_17, val_acc_18, val_acc_19, val_acc_20, val_acc_21, val_acc_22, val_acc_23, val_acc_24, val_acc_25
1, 3.273176, 1.000000, 3.257749, 0.000000, 0.041176, 0.042113, 0.008257, 0.007651, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.096774, 0.000000, 0.029412, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.968750, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
3, 3.265466, 1.000000, 3.257425, 0.000000, 0.037647, 0.038462, 0.002791, 0.001448, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
16, 2.880598, 1.000000, 3.210512, 0.000000, 0.123529, 0.118089, 0.050486, 0.064691, 0.333333, 0.000000, 0.000000, 0.000000, 0.325000, 0.000000, 0.068966, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.441860, 0.000000, 0.000000, 0.000000, 1.000000, 0.034483, 0.000000, 0.000000, 0.866667, 0.000000, 0.000000, 0.000000
18, 2.673357, 1.000000, 3.145173, 0.000000, 0.142353, 0.133720, 0.061665, 0.108963, 0.416667, 0.000000, 0.000000, 0.000000, 0.375000, 0.000000, 0.000000, 0.030303, 0.031250, 0.000000, 0.000000, 0.058824, 0.000000, 0.000000, 0.627907, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.833333, 0.103448, 0.000000, 0.000000
20, 2.412719, 1.000000, 3.036041, 0.000000, 0.172941, 0.167504, 0.101755, 0.112505, 0.388889, 0.115385, 0.000000, 0.000000, 0.425000, 0.000000, 0.000000, 0.060606, 0.093750, 0.000000, 0.000000, 0.264706, 0.000000, 0.000000, 0.604651, 0.000000, 0.000000, 0.153846, 1.000000, 0.275862, 0.000000, 0.000000, 0.800000, 0.172414, 0.000000, 0.000000
22, 2.127626, 1.000000, 2.951198, 0.000000, 0.191765, 0.187483, 0.120438, 0.168098, 0.194444, 0.230769, 0.000000, 0.000000, 0.400000, 0.000000, 0.068966, 0.090909, 0.125000, 0.032258, 0.000000, 0.323529, 0.064516, 0.029412, 0.744186, 0.000000, 0.000000, 0.115385, 1.000000, 0.310345, 0.000000, 0.000000, 0.800000, 0.344828, 0.000000, 0.000000
24, 1.843879, 1.000000, 2.872563, 0.000000, 0.198824, 0.194711, 0.133489, 0.147835, 0.222222, 0.269231, 0.000000, 0.000000, 0.450000, 0.000000, 0.034483, 0.181818, 0.093750, 0.193548, 0.000000, 0.205882, 0.064516, 0.058824, 0.744186, 0.000000, 0.000000, 0.192308, 1.000000, 0.275862, 0.000000, 0.000000, 0.800000, 0.275862, 0.000000, 0.000000
26, 1.564663, 1.000000, 2.788342, 0.000000, 0.243529, 0.242297, 0.186212, 0.250281, 0.166667, 0.423077, 0.000000, 0.000000, 0.525000, 0.000000, 0.172414, 0.242424, 0.093750, 0.354839, 0.000000, 0.235294, 0.225806, 0.176471, 0.697674, 0.062500, 0.108108, 0.153846, 1.000000, 0.379310, 0.000000, 0.029412, 0.733333, 0.482759, 0.000000, 0.037037
28, 1.320733, 1.000000, 2.724846, 0.000000, 0.248235, 0.247475, 0.196884, 0.312112, 0.305556, 0.230769, 0.080000, 0.000000, 0.425000, 0.028571, 0.172414, 0.242424, 0.125000, 0.258065, 0.000000, 0.205882, 0.161290, 0.176471, 0.651163, 0.000000, 0.054054, 0.230769, 1.000000, 0.551724, 0.046512, 0.235294, 0.800000, 0.379310, 0.000000, 0.074074
30, 1.116420, 1.000000, 2.668744, 0.000000, 0.269412, 0.267834, 0.227834, 0.291150, 0.222222, 0.461538, 0.080000, 0.054054, 0.575000, 0.085714, 0.206897, 0.333333, 0.156250, 0.354839, 0.000000, 0.235294, 0.290323, 0.147059, 0.674419, 0.093750, 0.027027, 0.192308, 1.000000, 0.344828, 0.069767, 0.235294, 0.633333, 0.379310, 0.000000, 0.111111
31, 1.031665, 1.000000, 2.644790, 0.000000, 0.280000, 0.279246, 0.242032, 0.296717, 0.194444, 0.423077, 0.120000, 0.000000, 0.475000, 0.114286, 0.206897, 0.333333, 0.187500, 0.354839, 0.000000, 0.235294, 0.354839, 0.147059, 0.697674, 0.093750, 0.054054, 0.192308, 1.000000, 0.379310, 0.139535, 0.294118, 0.666667, 0.448276, 0.000000, 0.148148
32, 0.958452, 1.000000, 2.639780, 0.000000, 0.295294, 0.295976, 0.261339, 0.311656, 0.166667, 0.346154, 0.160000, 0.000000, 0.425000, 0.085714, 0.344828, 0.272727, 0.156250, 0.322581, 0.030303, 0.264706, 0.387097, 0.176471, 0.697674, 0.062500, 0.162162, 0.192308, 0.968750, 0.620690, 0.139535, 0.382353, 0.700000, 0.482759, 0.000000, 0.148148
33, 0.905032, 1.000000, 2.627546, 0.000000, 0.291765, 0.292793, 0.256962, 0.324449, 0.166667, 0.230769, 0.160000, 0.000000, 0.400000, 0.085714, 0.379310, 0.303030, 0.156250, 0.483871, 0.030303, 0.294118, 0.258065, 0.147059, 0.674419, 0.031250, 0.162162, 0.192308, 0.968750, 0.655172, 0.093023, 0.411765, 0.766667, 0.413793, 0.000000, 0.148148
34, 0.858830, 1.000000, 2.596661, 0.000000, 0.301176, 0.299864, 0.264579, 0.298169, 0.166667, 0.384615, 0.120000, 0.000000, 0.500000, 0.228571, 0.241379, 0.303030, 0.187500, 0.451613, 0.060606, 0.205882, 0.258065, 0.147059, 0.697674, 0.062500, 0.054054, 0.192308, 1.000000, 0.655172, 0.209302, 0.411765, 0.700000, 0.379310, 0.031250, 0.148148
35, 0.820801, 1.000000, 2.587452, 0.000000, 0.305882, 0.304029, 0.275914, 0.315123, 0.250000, 0.423077, 0.160000, 0.081081, 0.425000, 0.200000, 0.241379, 0.272727, 0.187500, 0.419355, 0.060606, 0.176471, 0.322581, 0.147059, 0.674419, 0.093750, 0.108108, 0.192308, 1.000000, 0.413793, 0.279070, 0.411765, 0.700000, 0.448276, 0.031250, 0.185185
37, 0.772062, 1.000000, 2.580457, 0.000000, 0.312941, 0.313306, 0.278919, 0.307019, 0.166667, 0.346154, 0.200000, 0.000000, 0.400000, 0.171429, 0.310345, 0.272727, 0.187500, 0.483871, 0.060606, 0.235294, 0.322581, 0.147059, 0.697674, 0.062500, 0.108108, 0.192308, 1.000000, 0.689655, 0.232558, 0.500000, 0.700000, 0.448276, 0.062500, 0.148148
